Référence fournisseur;Titre;Site;Référence fiche
0072 TDP080071;BELLECOUR - BATIMENT - NIVEAU QUAI LIGNE D ALIMENTATION EN EAU DRAINAGE SECOND OEUVRE PLOMBERIE DCE [TRACE DES RESEAUX];BELLECOUR A & D;6788
188016;BELLECOUR - RESERVATIONS POUR EQUIPEMENTS SPECIFIQUES;BELLECOUR A & D;118278
1191-03;BELLECOUR A & D - DOC - PLAN DE RETRAIT D AMIANTE ENCOFFREMENT DE CABLES;BELLECOUR A & D;232492
16HJ006875-001;BELLECOUR - LIGNE A - DOC - RAPPORT D ESSAI DE PRELEVEMENT ET D ANALYSE DETERMINATION DE LA CONCENTRATION EN FIBRES D AMIANTE DANS L AIR LOCAL LEM;BELLECOUR A & D;232493
2 903 362 001;BELLECOUR - LIGNE A - DOC - FICHE DE MESURAGE D EMPOUSSIEREMENT D AMBIANCE EN FIBRE D AMIANTE CIMENT;BELLECOUR A & D;232487
314000P55CD072;IFOT ENERGIE - EVENEMENTS - DONNEES - COMMANDES;BELLECOUR A & D;213738
38716952A1;BELLECOUR A & D - DOC - RAPPORT DE MISSION D EXAMEN VISUEL DES SURFACES TRAITEES AVANT DEMANTELEMENT DU CONFINEMENT EV1;BELLECOUR A & D;232488
51313449A1;BELLECOUR - LIGNE A - DOC - RAPPORT DE MISSION DE REPERAGE DES MATERIAUX ET PRODUITS CONTENANT DE L'AMIANTE AVANT REALISATION DE TRAVAUX;BELLECOUR A & D;194232
51313449A4;BELLECOUR A & D - DOC - RAPPORT DE MISSION DE REPERAGE ET DE CONTROLE PERIODIQUE DE L'ETAT DE CONSERVATION DES MATERIAUX ET PRODUITS CONTENANT DE L'AMIANTE POUR MISE A JOUR DU DTA;BELLECOUR A & D;196858
51313449A7;BELLECOUR A - DOC - RAPPORT DE MISSION DE REPERAGE DES MATERIAUX ET PRODUITS CONTENANT DE L'AMIANTE AVANT TRAVAUX LOCAL LEM;BELLECOUR A & D;229777
51313449P1;BELLECOUR LIGNE A - DOC - RAPPORT DE MISSION DE REPERAGE DES REVETEMENTS CONTENANT DU PLOMB AVANT TRAVAUX;BELLECOUR A & D;194231
6451429 001 1;BELLECOUR - DOC - RAPPORT DE VERIFICATION D UNE INSTALLATION ELECTRIQUE BAIE BG BOGGIEGUARD PGF;BELLECOUR A & D;234176
6451429-001-1;PGF - STATION BELLECOUR RAPPORT DE VERIFICATION D'UNE INSTALLATION ELECTRIQUE BOGGIEGUARD;BELLECOUR A & D;230373
800 E 033;BELLECOUR - LIGNE A - ARMOIRE PUBLICITE QUAI 1 & 2;BELLECOUR A & D;42136
800 E 089;BELLECOUR - DETRUIT LE 17/09/2001;BELLECOUR A & D;42238
800 E 103;BELLECOUR - TABLEAU ECLAIRAGE SECURITE;BELLECOUR A & D;42229
800 E 155;BELLECOUR - COFFRET COMPTAGE BOUTIQUE;BELLECOUR A & D;42304
800 E 159;BELLECOUR - COFFRET DE DISTRIBUTION BT CLIMATISATION BILLETTERIE;BELLECOUR A & D;42305
800 E 188;BELLECOUR - COFFRET CLIMATISATION LEE;BELLECOUR A & D;42307
800 E 192;BELLECOUR - CLIMATISATION LOCAL ELECTRONIQUE;BELLECOUR A & D;42310
800 E 200;BELLECOUR - COFFRET LOCAL AMIS;BELLECOUR A & D;42388
800 E 211;BELLECOUR - SCHEMA DES LIAISONS ET RACCORDEMENTS COMPTAGE VOYAGEURS;BELLECOUR A & D;42376
800 E 229;BELLECOUR - DETRUIT LE 21/02/03 SUITE MARCHE 00-74 - DETECTION INCENDIE CROISSANTERIE;BELLECOUR A & D;42422
800 E 249;BELLECOUR - EQUIPEMENT ANTI INTRUSION LOCAL MERCURE BELLECOUR;BELLECOUR A & D;42395
800 E 278;BELLECOUR - LIGNE A - LOCAL LEE IMPLANTATION ARMOIRES IMPLANTATION BOITIERS VIDEO;BELLECOUR A & D;42456
900 E 024;BELLECOUR - LIGNE D - LOCAL LEE  IMPLANTATION ARMOIRES;BELLECOUR A & D;34924
900 E 066;BELLECOUR - LOCAL GDS, COFFRET EQUIPEMENT;BELLECOUR A & D;35050
900 E 075;BELLECOUR - LIGNE D - COFFRET ALIMENTATION BOULANGERIE;BELLECOUR A & D;64769
91133;BELLECOUR - BATIMENT - EDICULE ASCENSEUR;BELLECOUR A & D;16385
AA00AA X0000 000000 X90 TD 000036;SERBER - BAIE BELLECOUR BOGGIEGUARD PGF PLAN;BELLECOUR A & D;233897
AA00AA X0000 000000 X90 TD 000040;SERBER - BAIE BELLECOUR BOGGIEGUARD PGF NOMENCLATURE;BELLECOUR A & D;233899
AA00AA X0000 0000 ST-305010                       ;BELLECOUR - LIGNE D - STATION CONTROLE FROTTEURS;BELLECOUR A & D;15697
AA00AA X0000 0070 SF-050415                       ;BELLECOUR - ANTONIN PONCET - POSTE D'EPUISEMENT DES EAUX PLAN D'EQUIPEMENT POSTE AUXILIAIRE;BELLECOUR A & D;34321
AA00AA X0000 0071 SF-030343                       ;BELLECOUR - IMPLANTATION ET COUPE ASCENSEUR N°1;BELLECOUR A & D;34232
AA00AA X0000 0071 SF-030344                       ;BELLECOUR - IMPLANTATION ET COUPE ASCENSEUR N° 2;BELLECOUR A & D;34218
AA00AA X0000 0071 SF-030349                       ;BELLECOUR - ASCENSEUR N° 4;BELLECOUR A & D;34335
AA00AA X0000 0071 SF-050390                       ;BELLECOUR - POSTE D'EPUISEMENT DES EAUX PLAN D'EQUIPEMENT BY-PASS POSTE AUXILIAIRE;BELLECOUR A & D;34263
AA00AA X0000 0072 EQ-072001;BELLECOUR - SECURITES QUAIS VOIES 1 ET 2 SQV REPORT DES INFORMATIONS DEFAUTS AU PCC;BELLECOUR A & D;34511
AA00AA X0000 0072 EQ-072002;BELLECOUR - AUXILIAIRES ENTREES SORTIES ULS REPORT DES INFORMATIONS DEFAUTS AU PCC;BELLECOUR A & D;34407
AA00AA X0000 0072 EQ-072003;BELLECOUR - VENTILATION EPUISEMENT REPORT DES INFORMATIONS DEFAUTS AU PCC;BELLECOUR A & D;34443
AA00AA X0000 0072 EQ-072200;BELLECOUR - DETECTION INCENDIE REPORT DES INFORMATIONS DEFAUTS AU PCC;BELLECOUR A & D;34482
AA00AA X0000 0072 EQ-072201;BELLECOUR - DISTRIBUTEURS REPORT DES INFORMATIONS DEFAUTS AU PCC;BELLECOUR A & D;34481
AA00AA X0000 0072 EQ-072202;BELLECOUR - CONTROLE D'ACCES OUVERTURE DE L'ECC REPORT DES INFORMATIONS DEFAUTS AU PCC;BELLECOUR A & D;34451
AA00AA X0000 0072 SF-000325                       ;BELLECOUR - POSTE REDRESSEUR DE TRACTION ET SORTIE POSTE REDRESSEUR;BELLECOUR A & D;34003
AA00AA X0000 0072 SF-000326                       ;BELLECOUR - TABLEAU DE DISTRIBUTION ET DE SECTIONNEMENT EQUIPEMENT 750V CC;BELLECOUR A & D;33824
AA00AA X0000 0072 SF-000327                       ;BELLECOUR - TABLEAU DE DISTRIBUTION ET DE SECTIONNEMENT NOMENCLATURE 750 VCC;BELLECOUR A & D;33815
AA00AA X0000 0072 SF-000328                       ;BELLECOUR - DETRUIT LE 03/03/2007 - AUTOMATE P.R. ET SORTIE P.R. LISTE DES TERMES;BELLECOUR A & D;33960
AA00AA X0000 0072 SF-000330                       ;BELLECOUR - DETRUIT LE 03/03/2007 - AUTOMATE P.R. ET SORTIE P.R. DEFINITION EQUIPEMENT SYCALSPA C200;BELLECOUR A & D;34309
AA00AA X0000 0072 SF-000371                       ;BELLECOUR - SYNOPTIQUE ARMOIRE COMMANDE ET CONTROLE PRESENTATION;BELLECOUR A & D;33814
AA00AA X0000 0072 SF-000440                       ;BELLECOUR - TABLEAU DE DISTRIBUTION ET DE SECTIONNEMENT NOMENCLATURE CABLES;BELLECOUR A & D;34194
AA00AA X0000 0072 SF-000441                       ;BELLECOUR - TABLEAU DE DISTRIBUTION ET DE SECTIONNEMENT EN LIGNE IMPLANTATIONS ET CHEMINEMENTS;BELLECOUR A & D;33836
AA00AA X0000 0072 SF-000442                       ;BELLECOUR - JEUX DE BARRES REDRESSEUR CELLULE NEGATIVE REDRESSEUR CELLULE POSITIVE;BELLECOUR A & D;33927
AA00AA X0000 0072 SF-000443                       ;BELLECOUR - JEUX DE BARRES CELLULE POSITIVE TABLEAU SORTIE PR;BELLECOUR A & D;34016
AA00AA X0000 0072 SF-000444                       ;BELLECOUR - POSTE REDRESSEUR INSTALLATION VUE EN PLAN;BELLECOUR A & D;34192
AA00AA X0000 0072 SF-000446                       ;BELLECOUR - JEUX DE BARRES TRANSFORMATEUR-REDRESSEUR;BELLECOUR A & D;34004
AA00AA X0000 0072 SF-000447                       ;BELLECOUR - PR INSTALLATION CELLULE POSITIVE ET NEGATIVE DETAILS;BELLECOUR A & D;34203
AA00AA X0000 0072 SF-000448                       ;BELLECOUR - TABLEAU PR INSTALLATION CHEMINS DE CABLES;BELLECOUR A & D;34209
AA00AA X0000 0072 SF-000449                       ;BELLECOUR - POSTE REDRESSEUR PLANS DE SUPPORTS;BELLECOUR A & D;34193
AA00AA X0000 0072 SF-010034                       ;BELLECOUR - TABLEAU DE DISTRIBUTION HT LOCAL PR;BELLECOUR A & D;33506
AA00AA X0000 0072 SF-010035                       ;BELLECOUR - TABLEAU DE LIVRAISON ET REPARTITION HT;BELLECOUR A & D;33502
AA00AA X0000 0072 SF-020212                       ;BELLECOUR - LIGNE D - ARMOIRE CONTROLE TRANCHE ET S/TRANCHES ET REGROUPEMENT INFOS;BELLECOUR A & D;33855
AA00AA X0000 0072 SF-020242                       ;BELLECOUR - LIGNE D - TABLEAU ECLAIRAGE DE SECURITE;BELLECOUR A & D;33879
AA00AA X0000 0072 SF-020272                       ;BELLECOUR - LIGNE D - ARMOIRE DE DISTRIBUTION 48V= ET FORMATION S/TRANCHES HT;BELLECOUR A & D;33876
AA00AA X0000 0072 SF-020292                       ;BELLECOUR - LIGNE D - COFFRET DISTRIBUTION BT CLIMATISATION LAC;BELLECOUR A & D;34363
AA00AA X0000 0072 SF-020370                       ;BELLECOUR - COFFRET DISTRIBUTION BT GARE ROUTIERE;BELLECOUR A & D;34322
AA00AA X0000 0072 SF-020457                       ;BELLECOUR - LIGNE D - CLIMATISATION LEE;BELLECOUR A & D;34620
AA00AA X0000 0072 SF-030154                       ;BELLECOUR - ESCALIER MECANIQUE N° 01 PLAN D'INSTALLATION;BELLECOUR A & D;33651
AA00AA X0000 0072 SF-030155                       ;BELLECOUR - ESCALIER MECANIQUE N° 02 PLAN D'INSTALLATION;BELLECOUR A & D;33692
AA00AA X0000 0072 SF-030156                       ;BELLECOUR - ESCALIER MECANIQUE N° 03 PLAN D'INSTALLATION;BELLECOUR A & D;33906
AA00AA X0000 0072 SF-030157                       ;BELLECOUR - ESCALIERS MECANIQUES N° 04+05 PLAN D'INSTALLATION;BELLECOUR A & D;33905
AA00AA X0000 0072 SF-030158                       ;BELLECOUR - ESCALIER MECANIQUE N° 06 PLAN D'INSTALLATION;BELLECOUR A & D;34336
AA00AA X0000 0072 SF-030199                       ;BELLECOUR - DETRUIT LE 17-05-2013- VOIR PLAN EP99EPM0961950000E20OS084511-ESCALIER MECANIQUE N°01 SCHEMA DE COMMANDE ET DE CONTROLE;BELLECOUR A & D;33670
AA00AA X0000 0072 SF-030200                       ;BELLECOUR - DETRUIT LE 17-05-2013-VOIR PLAN EP99EPM0961950000E20OS084512-ESCALIER MECANIQUE N°02 SCHEMA DE COMMANDE ET DE CONTROLE;BELLECOUR A & D;33669
AA00AA X0000 0072 SF-030201                       ;BELLECOUR - DETRUIT LE 17-05-2013-VOIR PLAN EP99EPM0961950000E20OS084513-ESCALIER MECANIQUE N°03 SCHEMA DE COMMANDE ET DE CONTROLE;BELLECOUR A & D;33656
AA00AA X0000 0072 SF-030202                       ;BELLECOUR - DETRUIT LE 22/07/09 - ESCALIER MECANIQUE N°04 SCHEMA DE COMMANDE ET DE CONTROLE;BELLECOUR A & D;33900
AA00AA X0000 0072 SF-030203                       ;BELLECOUR - DETRUIT LE 22/07/09 - ESCALIER MECANIQUE N°05 SCHEMA DE COMMANDE ET DE CONTROLE;BELLECOUR A & D;33910
AA00AA X0000 0072 SF-030213                       ;BELLECOUR - DETRUIT LE 22/07/09 - ESCALIER MECANIQUE N°06 SCHEMA DE COMMANDE ET DE CONTROLE;BELLECOUR A & D;33665
AA00AA X0000 0072 SF-030215                       ;BELLECOUR - POSTE PRINCIPAL D'EPUISEMENT COFFRET COMMANDE CONTROLE BY-PASS;BELLECOUR A & D;34074
AA00AA X0000 0072 SF-030216                       ;BELLECOUR - ANTONIN PONCET -  POSTE PRINCIPAL D'EPUISEMENT COFFRET COMMANDE CONTROLE;BELLECOUR A & D;34043
AA00AA X0000 0072 SF-030217                       ;BELLECOUR - POSTE PRINCIPAL D'EPUISEMENT COFFRET COMMANDE CONTROLE;BELLECOUR A & D;34051
AA00AA X0000 0072 SF-030249                       ;BELLECOUR - POSTE D'EPUISEMENT DES EAUX POSTE PRINCIPAL SUPPORTS TUYAUTERIES;BELLECOUR A & D;34083
AA00AA X0000 0072 SF-030251                       ;BELLECOUR - POSTE D'EPUISEMENT DES EAUX POSTE PRINCIPAL GARDE-CORPS;BELLECOUR A & D;34065
AA00AA X0000 0072 SF-030267                       ;BELLECOUR - POSTE PRINCIPAL EPUISEMENT AUXILIAIRE COFFRET COMMANDE CONTROLE;BELLECOUR A & D;34338
AA00AA X0000 0072 SF-030345                       ;BELLECOUR - IMPLANTATION ET COUPES ASCENSEUR N° 3;BELLECOUR A & D;34245
AA00AA X0000 0072 SF-030359                       ;BELLECOUR - ANTONIN PONCET - POSTE D'EPUISEMENT DES EAUX TRAPPE D'ACCES AUX POMPES;BELLECOUR A & D;34339
AA00AA X0000 0072 SF-030388                       ;BELLECOUR - ASCENSEUR N° 1 HYDRAULIQUE 2NX SIMPLE ACCES SCHEMA DE COMMANDE ET DE CONTROLE;BELLECOUR A & D;34086
AA00AA X0000 0072 SF-030389                       ;BELLECOUR - ASCENSEUR N° 2 HYDRAULIQUE 2NX DOUBLE ACCES SCHEMA DE COMMANDE ET DE CONTROLE;BELLECOUR A & D;34085
AA00AA X0000 0072 SF-030406                       ;BELLECOUR - ASCENSEUR N° 3 HYDRAULIQUE 2NX SIMPLE ACCES SCHEMA DE COMMANDE ET DE CONTROLE;BELLECOUR A & D;34139
AA00AA X0000 0072 SF-030416                       ;BELLECOUR - ASCENSEUR N° 4 HYDRAULIQUE 2NX DOUBLE ACCES SCHEMA DE COMMANDE ET DE CONTROLE;BELLECOUR A & D;34088
AA00AA X0000 0072 SF-030444                       ;BELLECOUR - COFFRET POMPIER;BELLECOUR A & D;34047
AA00AA X0000 0072 SF-030564                       ;BELLECOUR - CLIMATISATION LEE;BELLECOUR A & D;34692
AA00AA X0000 0072 SF-030703                       ;BELLECOUR - LIGNE D - VENTILATION LOCAUX HT/BT, IMPLANTATION DES EQUIPEMENTS;BELLECOUR A & D;34662
AA00AA X0000 0072 SF-030704                       ;BELLECOUR - COFFRET DE DISTRIBUTION BT DE LA VENTILATION LHB;BELLECOUR A & D;34746
AA00AA X0000 0072 SF-050097                       ;BELLECOUR - PLAN GUIDE D'IMPLANTATION LOCAL HT/BT;BELLECOUR A & D;33433
AA00AA X0000 0072 SF-050235                       ;BELLECOUR - LIGNE D - IMPLANTATION COURANTS FORTS COURANTS FAIBLES NIVEAU MEZZANINE;BELLECOUR A & D;33479
AA00AA X0000 0072 SF-050252                       ;BELLECOUR - IMPLANTATION COURANTS FORTS COURANTS FAIBLES NIVEAU MEZZANINE/BY-PASS;BELLECOUR A & D;33850
AA00AA X0000 0072 SF-050253                       ;BELLECOUR - LIGNE D - CHEMINEMENTS SOUS QUAIS;BELLECOUR A & D;33848
AA00AA X0000 0072 SF-050254                       ;BELLECOUR - LIGNE D - CHEMINEMENTS SOUS PLAFOND NIVEAU QUAI;BELLECOUR A & D;33894
AA00AA X0000 0072 SF-050255                       ;BELLECOUR - IMPLANTATION COURANTS FORTS COURANTS FAIBLES MEZZANINE A. PONCET;BELLECOUR A & D;33845
AA00AA X0000 0072 SF-050256                       ;BELLECOUR - LIGNE D - CHEMINEMENT EN DALLE & SOUS PLAFOND NIVEAU MEZZANINE;BELLECOUR A & D;33868
AA00AA X0000 0072 SF-050257                       ;BELLECOUR - CHEMINEMENTS EN DALLE & SOUS PLAFOND NIVEAU MEZZANINE / BY-PASS;BELLECOUR A & D;33867
AA00AA X0000 0072 SF-050272                       ;BELLECOUR - CHEMINEMENTS EN DALLE & SOUS PLAFONDS MEZZANINE A. PONCET;BELLECOUR A & D;33883
AA00AA X0000 0072 SF-050285                       ;BELLECOUR - LIGNE D - SCHEMA DES LIAISONS;BELLECOUR A & D;34037
AA00AA X0000 0072 SF-050349                       ;BELLECOUR - IMPLANTATION VENTILATEURS;BELLECOUR A & D;34122
AA00AA X0000 0072 SF-050367                       ;BELLECOUR - POSTE D'EPUISEMENT DES EAUX PLAN D'EQUIPEMENT POSTE PRINCIPAL;BELLECOUR A & D;34114
AA00AA X0000 0072 SF-050416                       ;BELLECOUR - PLACE LE VISTE - POSTE D'EPUISEMENT DES EAUX PLAN D'EQUIPEMENT POSTE AUXILIAIRE;BELLECOUR A & D;34340
AA00AA X0000 0072 SF-050505                       ;BELLECOUR - VENTILATION DES LOCAUX HAUTE ET BASSE TENSION IMPLANTATIONS DES EQUIPEMENTS;BELLECOUR A & D;34687
AA00AA X0000 0072 ST-010016                       ;BELLECOUR - DETRUIT LE 13/01/2011 REMPLACE PAR N° DH99DH -- OS084511 - RESEAU DISTRIBUTION DE L'HEURE;BELLECOUR A & D;37673
AA00AA X0000 0072 ST-020038                       ;BELLECOUR - TELESURVEILLANCE DU RTIS;BELLECOUR A & D;40378
AA00AA X0000 0072 ST-040022                       ;BELLECOUR - RESEAU TELESURVEILLANCE VIDEO;BELLECOUR A & D;37063
AA00AA X0000 0072 ST-060020                       ;BELLECOUR D - DETRUIT REMPLACER PAR PLAN N°AK99AKM0911890000E00AP596911 RESEAU DETECTION INCENDIE LIGNE A;BELLECOUR A & D;37069
AA00AA X0000 0072 ST-060042;BELLECOUR - DETECTION INCENDIE CABLAGE CONSTRUCTEUR;BELLECOUR A & D;111010
AA00AA X0000 0072 ST-070009                       ;BELLECOUR - RESEAU VALIDATION DES TITRES DE TRANSPORT;BELLECOUR A & D;37099
AA00AA X0000 0072 ST-080008                       ;BELLECOUR - RESEAU DISTRIBUTION DES TITRES DE TRANSPORT;BELLECOUR A & D;37054
AA00AA X0000 0072 ST-090013;BELLECOUR - LOCAUX TECHNIQUES ET TUNNEL - EQUIPEMENTS CONTROLE D'ACCES;BELLECOUR A & D;61411
AA00AA X0000 0072 ST-100108                       ;"BELLECOUR - DETRUIT LE 24/08/2016 VOIR FICHIER JOINT LIGNE D - NIVEAU MEZZANINE + BY PASS; IMPLANTATION DES EQUIPEMENTS D'EXPLOITATION LIES AUX MOUVEMENTS DES VOYAGEURS";BELLECOUR A & D;35433
AA00AA X0000 0072 ST-100109                       ;BELLECOUR - DETRUIT LE 24/08/2016 VOIR FICHIER JOINT LIGNE D -  IMPLANTATION DES EQUIPEMENTS D'EXPLOITATION LIES AUX MOUVEMENTS DES VOYAGEURS;BELLECOUR A & D;35655
AA00AA X0000 0072 ST-100127                       ;BELLECOUR - EQUIPEMENTS D'EXPLOITATION LIES AUX MOUVEMENTS DES VOYAGEURS IMPLANTATION DES EQUIPEMENTS MEZZANINE A.PONCET;BELLECOUR A & D;36924
AA00AA X0000 0072 ST-100263                       ;BELLECOUR - EQUIPEMENT ARMOIRES EMV;BELLECOUR A & D;37046
AA00AA X0000 0072 ST-901026                       ;BELLECOUR - RTIS - ALIMENTATION 48V= CHARGEUR 30A;BELLECOUR A & D;37786
AA00AA X0000 0072 ST-901040                       ;"BELLECOUR -  PLAN DETRUIT - SECURISATION RTIS; ALIMENTATION 48V= CHARGEURS 100A";BELLECOUR A & D;39747
AA00AA X0000 0072 ST-901044                       ;BELLECOUR - INTERPHONIE ALARME CARNET DE CABLES;BELLECOUR A & D;34150
AA00AA X0000 0072 ST-901083                       ;BELLECOUR - ARMOIRE RTIS;BELLECOUR A & D;37936
AA00AA X0000 0072 ST-901098                       ;BELLECOUR - REPARTITEUR RTIS;BELLECOUR A & D;37958
AA00AA X0000 0072 STV040002                       ;BELLECOUR - TRANSMISSION VIDEO ARMOIRE EMV5;BELLECOUR A & D;40706
AA00AA X0000 0072 STV050004                       ;BELLECOUR - TRANSMISSION AUDIO ARMOIRE EMV5;BELLECOUR A & D;40708
AA00AA X0000 0072 STV901002;BELLECOUR - TRANSMISSION URAD ARMOIRE EMV5;BELLECOUR A & D;40686
AA00AA X0000 0730 ST-305000                       ;BELLECOUR - LIGNE D - BORDEREAU GENERAL SCHEMAS;BELLECOUR A & D;9761
AA00AA X0000 552100 I10 MP 000001                 ;SERBER - PLANS D'INSTALLATION SQV STATION BELLECOUR;BELLECOUR A & D;16205
AA99AA M0960 920000 I10 TQ 080035;BELLECOUR - DOC - ASCENSEUR QUAI CENTRAL;BELLECOUR A & D;150483
AA99AA M0960 950000 I10 TQ 080034;BELLECOUR - DOC - ESCALIER MECANIQUE QUAI CENTRAL;BELLECOUR A & D;150481
AA99AA M0961 730000 E00 TP 000082;BELLECOUR - COFFRET DISJONCTEURS TRANSFORMATEURS ASCENSEURS ET ESCALIERS MECANIQUE;BELLECOUR A & D;129166
AA99AA M0961 730000 E00 TP 000354;BELLECOUR - SCHEMA DE RACCORDEMENT ONDULEUR ET COFFRET COMMUTATEUR;BELLECOUR A & D;155199
AA99AA M0961 730000 E00 TS 000093;BELLECOUR - COFFRET ECLAIRAGE FORCE - LOCAL LEM 07;BELLECOUR A & D;137139
AA99AA M0961 930000 E00 TP 000460;BELLECOUR - PLACE LE VISTE - POSTE D'EPUISEMENT DES EAUX TRAPPE D'ACCES A LA POMPE;BELLECOUR A & D;34337
AA99AA M0961 A20000 I10 TQ 100087;BELLECOUR - DOC - DIUO AMELIORATION DE L'ACCES AUX QUAIS MARCHE 04-017 ASCENSEURS;BELLECOUR A & D;162231
AA99AA M0961 A20000 I10 TQ 100088;BELLECOUR - DOC - DOE -  AMELIORATION DE L'ACCES AUX QUAIS MARCHE 05-092 SERRURERIE - VITRERIE;BELLECOUR A & D;162233
AA99AA M0961 A20000 I10 TQ 100095;BELLECOUR - DOC - DOE -  AMELIORATION DE L'ACCES AUX QUAIS MARCHE 04-017;BELLECOUR A & D;162519
AA99AA M0961 A20000 I10 TQ 100096;BELLECOUR - DOC - DOE -  AMELIORATION DE L'ACCES AUX QUAIS MARCHE 05-91 GENIE CIVIL;BELLECOUR A & D;162520
AA99AA M0961 A20000 I10 TQ 100097;BELLECOUR - DOC -  DIUO - AMELIORATION DE L'ACCES AUX QUAIS MARCHE 05-92 SERRURERIS / 05-93 GROS OEUVRE;BELLECOUR A & D;162559
AA99AA M0961 A20000 I10 TQ 100098;BELLECOUR - DOC - DOE - AMELIORATION DE L'ACCES AUX QUAIS -  MARCHE 05-94 ELCT. CFO-CFA;BELLECOUR A & D;162580
AA99AA X0000 000000 E00 TP 000005;BELLECOUR - ARMOIRE VIDEOSURVEILLANCE;BELLECOUR A & D;101282
AAM000073RTEF01665;COMMUNS METRO - DOE QUALIMETRIE - DOSSIER DE FORMATION;BELLECOUR A & D;241560
AAM000073RTEH01664;COMMUNS METRO - DOE QUALIMETRIE - CAHIER ESSAIS SITE;BELLECOUR A & D;241559
AAM000073RTEM01663;COMMUNS METRO - DOE QUALIMETRIE - DOSSIER DE MAINTENANCE ELECTRIQUE;BELLECOUR A & D;241558
AAM091181IKLP00747;BELLECOUR - LIGNE D - LOCAL LEE COFFRET VIDEO PROJECTEUR;BELLECOUR A & D;219804
AAM0911A1ICOD01510;BELLECOUR - DOC TECHNIQUE - ANALYSE FONCTIONNELLE LOCAUX LEE GESTION NORMAL SECOUR CLIMATISATION;BELLECOUR A & D;243171
AAM0911A1ICOF01510;BELLECOUR - DOC TECHNIQUE - MANUEL DE MAINTENANCE CLIMATISATION;BELLECOUR A & D;243172
AAM0911A1ICOH01510;BELLECOUR - DOC TECHNIQUE - DOSSIER ESSAIS ET MISE EN SERVICE CLIMATISATION;BELLECOUR A & D;243173
AAM0911A1ICON01510;BELLECOUR - DOC TECHNIQUE - LISTE DES PIECES DETACHEES SYNTHESE MATERIEL SITE PAR SITE CLIMATISATION;BELLECOUR A & D;243174
AAM0911A1ICOP01510;BELLECOUR - PLAN EXECUTION IMPLANTATION CLIMATISATION;BELLECOUR A & D;243175
AAM0911A1ICOQ01510;BELLECOUR - DOC TECHNIQUE - DOSSIER TECHNIQUE CLIMATISATION;BELLECOUR A & D;243176
AAM095073RTEP01662;ATELIERS THIOLEY - LIGNE D - COFFRET QUALIMETRIE;BELLECOUR A & D;241557
AAM096173IKLP00310;BELLECOUR - LIGNE D - COFFRET ALIMENTATION BT COMMERCE MEZZANINE;BELLECOUR A & D;199307
AAM096173RTEP01661;BELLECOUR - LIGNE D - COFFRET QUALIMETRIE;BELLECOUR A & D;241556
