Référence fournisseur;Titre;Site;Référence fiche
125K321230RDNB91407;AMENAGEMENT DU CARREFOUR SERVIENT/VIVIER MERLE - RAMPE SUD / NOTE DE CALCULS DALLES SOUS TRAMWAY;PART DIEU - VIVIER MERLE;119982
125K321230RDNB91408;AMENAGEMENT DU CARREFOUR SERVIENT/VIVIER MERLE -RAMPE SUD / NOTE DE CALCULS CAISSON 1-3-4 + COMPLEMENTS CAISSON 6;PART DIEU - VIVIER MERLE;119983
125K321230RDNB91409;AMENAGEMENT DU CARREFOUR SERVIENT / VIVIER MERLE - RAMPE SUD - NOTE DE CALCULS CAISSONS 4;PART DIEU - VIVIER MERLE;119977
125K321230RDPB91419;AMENAGEMENT DU CARREFOUR SERVIENT / VIVIER MERLE - RAMPE SUD - CAISSON 1 ET 2 - PREDALLES / POUTRES PREFAS / COFFRAGE / ARMATURE;PART DIEU - VIVIER MERLE;119979
125K321230RDPB91420;AMENAGEMENT DU CARREFOUR SERVIENT/VIVIER MERLE -RAMPE SUD - CAISSON 3 ET 4 - PREDALLES POUTRE PREFAS / COFFRAGE ARMATURE;PART DIEU - VIVIER MERLE;119990
125K321230RDPB91421;AMENAGEMENT DU CARREFOUR SERVIENT/VIVIER MERLE -RAMPE SUD / CAISSON 5 - PREDALLES -POUTRE PREFABIQUEE- COFFRAGE - ARMATURE;PART DIEU - VIVIER MERLE;119991
125K321230RDPB91422;AMENAGEMENT DU CARREFOUR SERVIENT/VIVIER MERLE -RAMPE SUD CAISSON 6 - PREDALLES - POUTRES PREFABRIQUES - COFFRAGE - ARMATURE;PART DIEU - VIVIER MERLE;119992
125K321230RDPB91423;AMENAGEMENT DU CARREFOUR SERVIENT/VIVIER MERLE -RAMPE SUD - CAISSON 1 RADIER ARMATURES;PART DIEU - VIVIER MERLE;119993
125K321230RDPB91424;AMENAGEMENT DU CARREFOUR SERVIENT/VIVIER MERLE -RAMPE SUD - CAISSON 1 PIEDROITS - TRAVERSE / ARMATURES;PART DIEU - VIVIER MERLE;119994
125K321230RDPB91425;AMENAGEMENT DU CARREFOUR SERVIENT/VIVIER MERLE -RAMPE SUD - CAISSON 2 RADIER ARMATURES;PART DIEU - VIVIER MERLE;119995
125K321230RDPB91426;AMENAGEMENT DU CARREFOUR SERVIENT/VIVIER MERLE -RAMPE SUD - CAISSON 2 - PIEDROITS TRAVERSE - ARMATURES;PART DIEU - VIVIER MERLE;119996
125K321230RDPB91427;AMENAGEMENT DU CARREFOUR SERVIENT/VIVIER MERLE -RAMPE SUD - CAISSON 3 - RADIER ARMATURES;PART DIEU - VIVIER MERLE;119997
125K321230RDPB91428;AMENAGEMENT DU CARREFOUR SERVIENT/VIVIER MERLE -RAMPE SUD - CAISSON 3 / PIEDROITS-TRAVERSE / ARMATURES;PART DIEU - VIVIER MERLE;119998
125K321230RDPB91429;AMENAGEMENT DU CARREFOUR SERVIENT/VIVIER MERLE -RAMPE SUD - CAISSON 4 / RADIER ARMATURES;PART DIEU - VIVIER MERLE;119999
125K321230RDPB91430;AMENAGEMENT DU CARREFOUR SERVIENT/VIVIER MERLE -RAMPE SUD - CAISSON 4 / PIEDROITS-TRAVERSE / ARMATURES;PART DIEU - VIVIER MERLE;120000
125K321230RDPB91431;AMENAGEMENT DU CARREFOUR SERVIENT/VIVIER MERLE - RAMPE SUD - CAISSON 5 / RADIER ARMATURES;PART DIEU - VIVIER MERLE;120001
125K321230RDPB91432;AMENAGEMENT DU CARREFOUR SERVIENT/VIVIER MERLE -RAMPE SUD - CAISSON 5 - PIEDROITS-TRAVERSE / ARMATURES;PART DIEU - VIVIER MERLE;120002
125K321230RDPB91433;AMENAGEMENT DU CARREFOUR SERVIENT/VIVIER MERLE -RAMPE SUD -CAISSON 6 RADIER - ARMATURES;PART DIEU - VIVIER MERLE;120003
125K321230RDPB91434;AMENAGEMENT DU CARREFOUR SERVIENT/VIVIER MERLE -RAMPE SUD - CAISSON 6 - PIEDROITS TRAVERSE / ARMATURE;PART DIEU - VIVIER MERLE;120004
125K321230RDPB91436;AMENAGEMENT DU CARREFOUR SERVIENT/VIVIER MERLE -CONFORTEMENT DALLE SOUS TRAMWAY - FERRAILLAGE;PART DIEU - VIVIER MERLE;120006
125K321230RDPB91437;AMENAGEMENT DU CARREFOUR SERVIENT/VIVIER MERLE -RAMPE SUD - CAISSON 6 - DESSUS TRAVERSE ARMATURES;PART DIEU - VIVIER MERLE;120007
125K321230RDPB91438;AMENAGEMENT DU CARREFOUR SERVIENT/VIVIER MERLE - COMPLEMENT DE PLAN;PART DIEU - VIVIER MERLE;120008
125K5101108SPP00130;GUILLOTIERE - QUAI DES STATIONS - VUE EN PLAN;GUILLOTIERE;153393
125K5101108SPP00131;GUILLOTIERE - QUAI DES STATIONS - ELEVATIONS;GUILLOTIERE;153395
125K5101108SPP00132;GUILLOTIERE - QUAI DES STATIONS - COUPES TRANSVERSALES;GUILLOTIERE;153392
125K5101109SPP00140;LIBERTE - QUAI DES STATIONS_VUE EN PLAN;LIBERTE;153396
125K5101109SPP00141;LIBERTE - QUAI DES STATIONS_ELEVATIONS;LIBERTE;153397
125K5101109SPP00142;LIBERTE - QUAI DES STATIONS_COUPES TRANSVERSALES;LIBERTE;153398
125K5101110SPP00150;SAXE - PREFECTURE - QUAI DES STATIONS_VUE EN PLAN;SAXE - PREFECTURE;153399
125K5101110SPP00151;SAXE - PREFECTURE - QUAI DES STATIONS_ELEVATIONS;SAXE - PREFECTURE;153400
125K5101110SPP00152;SAXE - PREFECTURE - QUAI DES STATIONS_COUPES TRANSVERSALES;SAXE - PREFECTURE;153401
125K5101111SPP00160;MONCEY MAIRIE DU 3EME - QUAI DES STATIONS VUE EN PLAN;MONCEY MAIRIE DU 3EME;153402
125K5101111SPP00161;MONCEY MAIRIE DU 3EME - QUAI DES STATIONS ELEVATIONS;MONCEY MAIRIE DU 3EME;153403
125K5101111SPP00162;MONCEY MAIRIE DU 3EME - QUAI DES STATIONS COUPES TRANSVERSALES;MONCEY MAIRIE DU 3EME;153404
125K5101112SPP00170;PART DIEU - SERVIENT - QUAI DES STATIONS_VUE EN PLAN;PART DIEU - SERVIENT;153405
125K5101112SPP00171;PART DIEU - SERVIENT - QUAI DES STATIONS_ELEVATIONS;PART DIEU - SERVIENT;153406
125K5101112SPP00172;PART DIEU - SERVIENT - QUAI DES STATIONS_COUPES TRANSVERSALES;PART DIEU - SERVIENT;153407
125K5401108CYP00133;GUILLOTIERE - TRAMWAY - QUAI DES STATIONS PLAN DE FOURREAUX;GUILLOTIERE;122484
125K5401108CYS00134;GUILLOTIERE - TRAMWAY - QUAI DES STATIONS CARNET DE FIBRES OPTIQUES;GUILLOTIERE;122485
125K5401108CYS00135;GUILLOTIERE - TRAMWAY - QUAI DES STATIONS CARNET DE FOURREAUX;GUILLOTIERE;122486
125K5401108CYS00136;GUILLOTIERE - TRAMWAY - QUAI DES STATIONS CARNET DE CABLES;GUILLOTIERE;122487
125K5401109CYP00143;LIBERTE - QUAI DES STATIONS_PLAN DE FOURREAUX;LIBERTE;122488
125K5401109CYS00144;LIBERTE - QUAI DES STATIONS_CARNET DE FIBRES OPTIQUES;LIBERTE;122489
125K5401109CYS00145;LIBERTE - QUAI DES STATIONS_CARNET DE FOURREAUX;LIBERTE;122490
125K5401109CYS00146;LIBERTE - QUAI DES STATIONS_CARNET DE CABLES;LIBERTE;122491
125K5401110CYP00153;SAXE PREFECTURE - QUAI DES STATIONS_PLAN DE FOURREAUX;SAXE - PREFECTURE;122492
125K5401110CYS00154;SAXE PREFECTURE - QUAI DES STATIONS_CARNET DE FIBRES OPTIQUES;SAXE - PREFECTURE;122493
125K5401110CYS00155;SAXE PREFECTURE - QUAI DES STATIONS_CARNET DE FOURREAUX;SAXE - PREFECTURE;122494
125K5401110CYS00156;SAXE PREFECTURE - QUAI DES STATIONS_CARNET DE CABLES;SAXE - PREFECTURE;122495
125K5401111CYP00163;MONCEY MAIRIE DU 3EME - QUAI DES STATIONS_PLAN DE FOURREAUX;MONCEY MAIRIE DU 3EME;122496
125K5401111CYS00164;MONCEY MAIRIE DU 3EME - QUAI DES STATIONS_CARNET DE FIBRES OPTIQUES;MONCEY MAIRIE DU 3EME;122497
125K5401111CYS00165;MONCEY MAIRIE DU 3EME - QUAI DES STATIONS CARNET DE FOURREAUX;MONCEY MAIRIE DU 3EME;122498
125K5401111CYS00166;MONCEY MAIRIE DU 3EME - QUAI DES STATIONS CARNET DE CABLES;MONCEY MAIRIE DU 3EME;122499
125K5401112CYP00173;PART DIEU SERVIENT - QUAI DES STATIONS_PLAN DE FOURREAUX;PART DIEU - SERVIENT;122500
125K5401112CYS00174;PART DIEU SERVIENT - QUAI DES STATIONS_CARNET DE FIBRES OPTIQUES;PART DIEU - SERVIENT;122504
125K5401112CYS00175;PART DIEU SERVIENT - QUAI DES STATIONS_CARNET DE FOURREAUX;PART DIEU - SERVIENT;122501
125K5401112CYS00176;PART DIEU SERVIENT - QUAI DES STATIONS_CARNET DE CABLES;PART DIEU - SERVIENT;122503
125K610109SEH91902;LIBERTE - DOC - CARNET D'ESSAIS SOUS STATION 109 LIBERTE;LIBERTE;240282
125K610109SEP91832;LIBERTE - SOUS STATION  -  LISTE DES TERMES;LIBERTE;99308
125K610113SEP91833;PART DIEU VIVIER MERLE - SOUS STATION - LISTE DES TERMES;PART DIEU - VIVIER MERLE;99326
125K610L1SEP91513;LIBERTE - SOUS STATION 109 -  ENERGIE EQUIPEMENT;LIBERTE;99305
125K610L1SEP91514;PART DIEU VIVIER MERLE - SOUS STATION - IMPLANTATION EQUIPEMENT ENERGIE;PART DIEU - VIVIER MERLE;99324
125K610L1SEP91546;GUILLOTIERE - TRAMWAY - ENERGIE EQUIPEMENT LOCAL TECHNIQUE DE STATION;GUILLOTIERE;99226
125K610L1SEP91547;LIBERTE - ENERGIE EQUIPEMENT LOCAL TECHNIQUE DE STATION;LIBERTE;99310
125K610L1SEP91548;SAXE PREFECTURE - ENERGIE EQUIPEMENT LOCAL TECHNIQUE DE STATION;SAXE - PREFECTURE;99224
125K610L1SEP91549;MONCEY MAIRIE DU 3EME -  ENERGIE EQUIPEMENT LOCAL TECHNIQUE DE STATION;MONCEY MAIRIE DU 3EME;99233
125K610L1SEP91550;PART DIEU SERVIENT - ENERGIE EQUIPEMENT LOCAL TECHNIQUE DE STATION;PART DIEU - SERVIENT;99265
125K610L1SEP91551;PART DIEU VIVIER MERLE - ENERGIE EQUIPEMENT LOCAL TECHNIQUE DE STATION;PART DIEU - VIVIER MERLE;99327
125K611L1SEP91033;LIBERTE - SOUS STATION - SCHEMA TABLEAU HTA;LIBERTE;99321
125K611L1SEP91034;PART DIEU VIVIER MERLE - SOUS STATION - SCHEMA TABLEAU HTA;PART DIEU - VIVIER MERLE;99431
125K612L1SEP91103;LIBERTE - SOUS STATION - TABLEAU TGBT;LIBERTE;99319
125K612L1SEP91104;PART DIEU VIVIER MERLE - SOUS STATION - TABLEAU TGBT;PART DIEU - VIVIER MERLE;99428
125K612L1SEP91113;LIBERTE - SOUS STATION - ARMOIRE CONTROLE COMMANDE;LIBERTE;99318
125K612L1SEP91114;PART DIEU VIVIER MERLE - SOUS STATION - ARMOIRE CONTROLE COMMANDE;PART DIEU - VIVIER MERLE;99332
125K612L1SEP91126;GUILLOTIERE - TRAMWAY - ARMOIRE BT LOCAL TECHNIQUE DE STATION TDLTS;GUILLOTIERE;99227
125K612L1SEP91127;LIBERTE - ARMOIRE BT LOCAL TECHNIQUE DE STATION  TDLTS;LIBERTE;99316
125K612L1SEP91128;SAXE PREFECTURE -  ARMOIRE BT LOCAL TECHNIQUE DE STATION  TDLTS;SAXE - PREFECTURE;99225
125K612L1SEP91129;MONCEY MAIRIE DU 3EME -  ARMOIRE BT LOCAL TECHNIQUE DE STATION  TDLTS;MONCEY MAIRIE DU 3EME;99234
125K612L1SEP91130;PART DIEU SERVIENT - ARMOIRE BT LOCAL TECHNIQUE DE STATION  TDLTS;PART DIEU - SERVIENT;99258
125K612L1SEP91131;PART DIEU VIVIER MERLE - ARMOIRE BT LOCAL TECHNIQUE DE STATION - TDLTS;PART DIEU - VIVIER MERLE;99331
125K612L1SEP91141;PART DIEU SERVIENT - COFFRET ASCENSEUR DTU STATION;PART DIEU - SERVIENT;99266
125K612L1SEP91152;PART DIEU VIVIER MERLE - STATION EN LIGNE - LOCAL TECHNIQUE DE STATION S.I.G;PART DIEU - VIVIER MERLE;99971
125K612L1SEU91273;LIBERTE - SOUS STATION - CALCUL DES CIRCUITS ENERGIE BT ALTERTNATIFS DEPUIS TGBT SOUS STATION JUSQU'AUX COFFRETS BT LTS;LIBERTE;99313
125K612L1SEU91274;PART DIEU VIVIER MERLE - SOUS STATION - CALCUL DES CIRCUITS ENERGIE BT ALTERNATIFS DEPUIS TGBT SOUS STATION JUSQU'AUX COFFRETS BT LTS;PART DIEU - VIVIER MERLE;99328
125K613L1SEP91055;LIBERTE - SOUS STATION - TABLEAU PR ET SPR;LIBERTE;99320
125K613L1SEP91057;LIBERTE - SOUS STATION - SCHEMA ARMOIRE SECTIONNEMENT SPR;LIBERTE;99315
125K613L1SEP91060;PART DIEU VIVIER MERLE - SOUS STATION - TABLEAU PR ET SPR;PART DIEU - VIVIER MERLE;99429
125K613L1SEP91062;PART DIEU VIVIER MERLE - SOUS STATION - SCHEMA ARMOIRE SECTIONNEMENT SPR;PART DIEU - VIVIER MERLE;99330
125K614L1SEP91252;LIBERTE - SOUS STATION - CENTRALE DETECTION INCENDIE - SSI;LIBERTE;99314
125K614L1SEP91253;PART DIEU VIVIER MERLE - SOUS STATION - CENTRALE DETECTION INCENDIE - SSI;PART DIEU - VIVIER MERLE;99329
314000P55CD074;IFOT ENERGIE - EVENEMENTS - DONNEES - COMMANDES;GUILLOTIERE;213756
386000E21ZD019;GUILLOTIERE - ARMOIRE ECC1;GUILLOTIERE;34971
386000E21ZD020;GUILLOTIERE - ARMOIRE ECC2;GUILLOTIERE;34889
