Référence fournisseur;Titre;Nom société;N° bordereau;Nom demandeur;Date bordereau;Refus?;Commentaire demande;N° marché;Site;Sous-système;Référence fiche;;;
AQ00AQ X0000 0000 ST-901373;PART DIEU - FIBRE OPTIQUE RESEAU SLTC - TETE DE CABLE OPTIQUE LRC VOIE 1;ALSTHOM;C.DOC/JG/21/6;RIFFARD;05/01/2021;O;AVM AUTOMATISMES;M16 0116;PART DIEU;TELEPHONE;42786;42786;;
AQ00AQ X0000 0000 ST-901373;PART DIEU - FIBRE OPTIQUE RESEAU SLTC - TETE DE CABLE OPTIQUE LRC VOIE 1;ROIRET;C.DOC/JG/19/181;COZZI;25/09/2019;;Déplacement UAE Station Part dieu;18-0047;PART DIEU;TELEPHONE;42786;42786;;
AQ00AQ X0000 0000 ST-901374;PART DIEU - FIBRE OPTIQUE RESEAU SLTC - TETE DE CABLE OPTIQUE LRC VOIE 1;ROIRET;C.DOC/JG/19/181;COZZI;25/09/2019;;Déplacement UAE Station Part dieu;18-0047;PART DIEU;TELEPHONE;42754;42754;;
AQ00AQ X0000 0000 ST-901374;PART DIEU - FIBRE OPTIQUE RESEAU SLTC - TETE DE CABLE OPTIQUE LRC VOIE 1;SPIE;C.DOC/JG/19/213;ZOUAK;18/11/2019;O;TRAMWAY T6;M17 0088;PART DIEU;TELEPHONE;42754;42754;;
AQ00AQ X0000 0000 ST-901374;PART DIEU - FIBRE OPTIQUE RESEAU SLTC - TETE DE CABLE OPTIQUE LRC VOIE 1;SPIE;C.DOC/JG/19/240;PLANCHE;11/12/2019;O;TRAMWAY T6;M17 0088;PART DIEU;TELEPHONE;42754;42754;;
AQ00AQ X0000 0000 ST-901374;PART DIEU - FIBRE OPTIQUE RESEAU SLTC - TETE DE CABLE OPTIQUE LRC VOIE 1;SPIE;C.DOC/JG/20/144;PLANCHE;04/06/2020;O;TRAMWAY T6;M17 0088;PART DIEU;TELEPHONE;42754;42754;;
AQ00AQ X0000 0000 ST-901375;BROTTEAUX - FIBRE OPTIQUE RESEAU SLTC - TETE DE CABLE OPTIQUE LEE VOIE 2;ENGIE;C.DOC/JG/20/38;GIOE;06/02/2020;;LIAISON DEPLACEMENT SITE DE LA SARRA POUR MISE A JOUR;1700026;BROTTEAUX;TELEPHONE;42802;42802;;
AQ00AQ X0000 0000 ST-901380;HOTEL DE VILLE - LIGNE C - FIBRE OPTIQUE RESEAU SLTC - TETE DE CABLE OPTIQUE LEE VOIE 2;SPIE;C.DOC/LB/22/2;CASTRO;04/01/2022;;AJOUT ANTENNES RADIO EN TUNNEL ET SUR LES RAMES;21-114 VIDEO EMBARQUEE LIGNE C;HOTEL DE VILLE A & C;TELEPHONE;42809;42809;;
AQ00AQ X0000 0000 ST-901381;CROIX PAQUET - FIBRE OPTIQUE RESEAU SLTC TETE DE CABLE OPTIQUE LEE VOIE 2;SPIE;C.DOC/LB/22/2;CASTRO;04/01/2022;;AJOUT ANTENNES RADIO EN TUNNEL ET SUR LES RAMES;21-114 VIDEO EMBARQUEE LIGNE C;CROIX PAQUET;TELEPHONE;42775;42775;;
AQ00AQ X0000 0000 ST-901382;CROIX-ROUSSE - FIBRE OPTIQUE RESEAU SLTC TETE DE CABLE OPTIQUE LEE VOIE 2;SPIE;C.DOC/LB/22/2;CASTRO;04/01/2022;;AJOUT ANTENNES RADIO EN TUNNEL ET SUR LES RAMES;21-114 VIDEO EMBARQUEE LIGNE C;CROIX ROUSSE;TELEPHONE;42798;42798;;
AQ00AQ X0000 0000 ST-901383;HENON - FIBRE OPTIQUE RESEAU SLTC  TETE DE CABLE OPTIQUE LEE VOIE 1;SPIE;C.DOC/JG/21/165;CASTRO;08/07/2021;;VIDEO EMBARQUEE LIGNE C;M21 0114;HENON STATION;TELEPHONE;42808;42808;;
AQ00AQ X0000 0000 ST-901384;CUIRE - FIBRE OPTIQUE RESEAU SLTC - TETE DE CABLE OPTIQUE LEE VOIE 1;SPIE;C.DOC/LB/22/38;CASTRO;04/02/2022;;AJOUT ANTENNES RADIO EN TUNNEL ET SUR LES RAMES;21-114 VIDEO EMBARQUEE LIGNE C;CUIRE;TELEPHONE;42793;42793;;
AQ00AQ X0000 0000 ST-901385;ATELIERS HENON - FIBRE OPTIQUE RESEAU SLTC TETE DE CABLE OPTIQUE LEE;SPIE;C.DOC/JG/21/165;CASTRO;08/07/2021;;VIDEO EMBARQUEE LIGNE C;M21 0114;HENON ATELIERS;TELEPHONE;42801;42801;;
AQ00AQ X0000 0000 ST-901471;PERRACHE - FIBRE OPTIQUE RESEAU OPERATEURS MUTUALISE, TETE DE CABLE OPTIQUE QTEC VOIE 2;INEO;C.DOC/JG/19/63;GIOE;29/03/2019;;ALIGNEMENTS 4G ORANGE;1700026;PERRACHE;TELEPHONE;42762;42762;;
AQ00AQ X0000 0000 ST-901473;BELLECOUR - FIBRE OPTIQUE RESEAU OPERATEURS MUTUALISE - TETE DE CABLE OPTIQUE LAQ VOIE 1;INEO;C.DOC/JG/19/63;GIOE;29/03/2019;;ALIGNEMENTS 4G ORANGE;1700026;BELLECOUR A & D;TELEPHONE;42784;42784;;
AQ00AQ X0000 0000 ST-901474;BELLECOUR - FIBRE OPTIQUE RESEAU OPERATEURS MUTUALISE - TETE DE CABLE OPTIQUE LAQ VOIE 2;INEO;C.DOC/JG/19/63;GIOE;29/03/2019;;ALIGNEMENTS 4G ORANGE;1700026;BELLECOUR A & D;TELEPHONE;42749;42749;;
AQ00AQ X0000 0000 ST-901514;HENON - FIBRE OPTIQUE RESEAU OPERATEURS MUTUALISE, TETE DE CABLE OPTIQUE LET VOIE 1;INEO;C.DOC/JG/20/162;GIOE;07/07/2020;;;1700026;HENON STATION;TELEPHONE;42736;42736;;
AQ00AQ X0000 0000 ST-901515;HENON - FIBRE OPTIQUE RESEAU OPERATEURS MUTUALISE, TETE DE CABLE OPTIQUE NETT VOIE 2;INEO;C.DOC/JG/19/63;GIOE;29/03/2019;;ALIGNEMENTS 4G ORANGE;1700026;HENON STATION;TELEPHONE;42745;42745;;
AQ00AQ X0000 0000 ST-901516;CUIRE - FIBRE OPTIQUE RESEAU OPERATEURS MUTUALISE - TETE DE CABLE OPTIQUE LET VOIE 1;INEO;C.DOC/JG/20/162;GIOE;07/07/2020;;;1700026;CUIRE;TELEPHONE;42735;42735;;
AQ00AQ X0000 0000 TR-000003;GUICHARD - IMPLANTATION DES EQUIPEMENTS - NIVEAU QUAI;ROIRET;C.DOC/JG/17/127;NEMESI;14/06/2017;;amenagement d'un local lee complementaire station guichard;16s0156;GUICHARD;EMV;41624;#N/A;;
AQ00AQ X0000 0000 TR-000005;SAXE GAMBETTA - IMPLANTATION DES EQUIPEMENTS - NIVEAU MEZZANINE;ENGIE;C.DOC/JG/20/77;LESAGE;03/03/2020;;PROLONGEMENT METRO B HLS;M19 078;SAXE GAMBETTA  B & D;EMV;41680;#N/A;;
AQ00AQ X0000 0013 GL-000454;CHARPENNES - LIGNE B - IMPLANTATION COURANTS FORTS COURANTS FAIBLES;ROIRET;C.DOC/JG/21/214;LEFEVER;28/09/2021;;EQUIPEMENTS STATIONS OPERATION AVM;17 00 79;CHARPENNES A & B;BASSE TENSION;40999;40999;;
AQ00AQ X0000 0028 GL-000533;BROTTEAUX - IMPLANTATION COURANTS FORTS COURANTS/FAIBLES NIVEAU QUAI;ROIRET;C.DOC/JG/21/121;LEFEVER;20/05/2021;;EQUIPEMENTS STATION OPERATION AVM;170 079;BROTTEAUX;BASSE TENSION;40958;40958;;
AQ00AQ X0000 0030 GL-000750;PART DIEU - IMPLANTATION COURANTS FORTS COURANTS FAIBLES NIVEAU QUAI;ENGIE;C.DOC/JG/20/4;ROBARDET;03/01/2020;;AVENIR METRO SECONDS OEUVRES;M17 0080 SOE;PART DIEU;BASSE TENSION;41299;41299;;
AQ00AQ X0000 0030 GL-000750;PART DIEU - IMPLANTATION COURANTS FORTS COURANTS FAIBLES NIVEAU QUAI;ROIRET;C.DOC/JG/21/108;LEFEVER;07/05/2021;O;EQUPEMENTS STATION OPERATION AVM;17-0079;PART DIEU;BASSE TENSION;41299;41299;;
AQ00AQ X0000 0030 GL-000750;PART DIEU - IMPLANTATION COURANTS FORTS COURANTS FAIBLES NIVEAU QUAI;ROIRET;C.DOC/JG/21/121;LEFEVER;20/05/2021;O;EQUIPEMENTS STATION OPERATION AVM;170 079;PART DIEU;BASSE TENSION;41299;41299;;
AQ00AQ X0000 0034 BT-000221;GUICHARD - IMPLANTATION COURANTS FORTS/FAIBLES NIVEAU QUAI;ROIRET;C.DOC/JG/21/121;LEFEVER;20/05/2021;;EQUIPEMENTS STATION OPERATION AVM;170 079;GUICHARD;BASSE TENSION;41546;41546;;
AQ00AQ X0000 0631 FA-004676;EQUIPEMENT ELECTRIQUE SCHEMA DE CABLAGE MI PUPITRE PARTIE GAUCHE;BOMBARDIER;C.DOC/JG/20/88;VERHAEGHE;16/03/2020;;;;COMMUNS  C;MR METRO;104674;#N/A;;
AQ00AQ X0000 0631 FA-004678;EQUIPEMENT ELECTRIQUE SCHEMA DE CABLAGE MI COFFRE ENSEMBLE PARTIE AVANT;BOMBARDIER;C.DOC/JG/20/143;VERHAEGHE;03/06/2020;;MODIFICATION ELECTRIQUE MCL 80;MCL80;COMMUNS  C;MR METRO;104672;#N/A;;
AQ00AQ X0000 0631 FA-004680;EQUIPEMENT ELECTRIQUE SCHEMA DE CABLAGE MI COFFRE ENSEMBLE PARTIE ARRIERE;BOMBARDIER;C.DOC/JG/20/143;VERHAEGHE;03/06/2020;;MODIFICATION ELECTRIQUE MCL 80;MCL80;COMMUNS  C;MR METRO;104671;#N/A;;
AQ00AQ X0000 0631 FA-006353;SCHEMA DE CABLAGE MI COFFRE COUPLEURS BOUT ARRIERE;BOMBARDIER;C.DOC/JG/20/88;VERHAEGHE;16/03/2020;;;;COMMUNS  C;MR METRO;103858;#N/A;;
AQ00AQ X0000 0631 FA-006361;SCHEMA DE CABLAGE MI COFFRE BOUT AVANT;BOMBARDIER;C.DOC/JG/20/88;VERHAEGHE;16/03/2020;;;;COMMUNS  C;MR METRO;103852;#N/A;;
AQ00AQ X0000 0631 FA-006468;SCHEMA DE CABLAGE MI SOUS CHASSIS BOUT ARRIERE;BOMBARDIER;C.DOC/JG/20/88;VERHAEGHE;16/03/2020;;;;COMMUNS  C;MR METRO;103836;#N/A;;
AQ00AQ X0000 0632 FA-004677;EQUIPEMENT ELECTRIQUE SCHEMA DE CABLAGE MP PUPITRE PARTIE GAUCHE;BOMBARDIER;C.DOC/JG/20/88;VERHAEGHE;16/03/2020;;;;COMMUNS  C;MR METRO;104673;#N/A;;
AQ00AQ X0000 0632 FA-004691;EQUIPEMENT ELECTRIQUE SCHEMA DE CABLAGE MP COFFRE ENSEMBLE PARTIE AVANT;BOMBARDIER;C.DOC/JG/20/143;VERHAEGHE;03/06/2020;;MODIFICATION ELECTRIQUE MCL 80;MCL80;COMMUNS  C;MR METRO;104668;#N/A;;
AQ00AQ X0000 0632 FA-004693;COMMUNS C - EQUIPEMENT ELECTRIQUE SCHEMA DE CABLAGE MP COFFRE ENSEMBLE PARTIE ARRIERE;BOMBARDIER;C.DOC/JG/20/143;VERHAEGHE;03/06/2020;;MODIFICATION ELECTRIQUE MCL 80;MCL80;COMMUNS  C;MR METRO;104653;104653;;
AQ00AQ X0000 0632 FA-004695;EQUIPEMENT ELECTRIQUE SCHEMA DE CABLAGE MP COFFRE COUPLEURS BOUT ARRIERE;BOMBARDIER;C.DOC/JG/20/88;VERHAEGHE;16/03/2020;;;;COMMUNS  C;MR METRO;104652;#N/A;;
AQ00AQ X0000 0632 FA-006356;EQUIPEMENT ELECTRIQUE SCHEMA DE CABLAGE MP COFFRE COUPLEURS BOUT AVANT;BOMBARDIER;C.DOC/JG/20/88;VERHAEGHE;16/03/2020;;;;COMMUNS  C;MR METRO;103855;#N/A;;
AQ00AQ X0000 0632 FA-006471;SCHEMA DE CABLAGE MP SOUS CHASSIS BOUT ARRIERE;BOMBARDIER;C.DOC/JG/20/88;VERHAEGHE;16/03/2020;;;;COMMUNS  C;MR METRO;103835;#N/A;;
AQ00AQ X0000 0635 FA-004700;EQUIPEMENT ELECTRIQUE SCHEMA DE CABLAGE MI-MP BOGIE;BOMBARDIER;C.DOC/JG/20/88;VERHAEGHE;16/03/2020;;;;COMMUNS  C;MR METRO;104650;#N/A;;
AQ00AQ X0000 0635 FA-006349;SCHEMA DE CABLAGE MI MP CABINE CLOISON DE LOGE;BOMBARDIER;C.DOC/JG/20/88;VERHAEGHE;16/03/2020;;;;COMMUNS  C;MR METRO;103862;#N/A;;
AQ00AQ X0000 0635 FA-006473;SCHEMA DE CABLAGE SOUS CHASSIS BOUT AVANT MI MP;BOMBARDIER;C.DOC/JG/20/88;VERHAEGHE;16/03/2020;;;;COMMUNS  C;MR METRO;103834;#N/A;;
AQ00AQ X0000 0730 HF-060120;ATELIERS POUDRETTE -  REPERTOIRE DES SYNOPTIQUES;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;113688;113688;;
AQ00AQ X0000 0730 HF-060121;ATELIERS POUDRETTE - SIG - SCHEMAS SYNOPTIQUES - PLANS TECHNIQUES;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;113689;113689;;
AQ00AQ X0000 0730 HF-060122;ATELIERS POUDRETTE -  SCHEMAS SYNOPTIQUES ENREGISTREMENT DES ITINERAIRES;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;113694;113694;;
AQ00AQ X0000 0730 HF-060123;ATELIERS POUDRETTE -  SCHEMAS SYNOPTIQUES COMMANDE DES ITINERAIRES;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;113707;113707;;
AQ00AQ X0000 0730 HF-060124;ATELIERS POUDRETTE -  SCHEMAS SYNOPTIQUES RELAIS DE COMMANDE D'AIGUILLES;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;113734;113734;;
AQ00AQ X0000 0730 HF-060125;ATELIERS POUDRETTE -  SCHEMAS SYNOPTIQUES COMMANDE ET CONTROLE DES AIGUILLES;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;113742;113742;;
AQ00AQ X0000 0730 HF-060126;ATELIERS POUDRETTE -  SCHEMAS SYNOPTIQUES COMMANDE DES OEILLETONS;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;113754;113754;;
AQ00AQ X0000 0730 HF-060127;ATELIERS POUDRETTE -  SCHEMAS SYNOPTIQUES ALLUMAGE DES FEUX DE SIGNAUX;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;113760;113760;;
AQ00AQ X0000 0730 HF-060128;ATELIERS POUDRETTE -  SCHEMAS SYNOPTIQUES DESTRUCTION DES ITINERAIRES;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;113767;113767;;
AQ00AQ X0000 0730 HF-060129;ATELIERS POUDRETTE -  SCHEMAS SYNOPTIQUES ALLUMAGE DES VOYANTS PUPITRE ET TCO;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;113786;113786;;
AQ00AQ X0000 0730 HF-060130;ATELIERS POUDRETTE -  SCHEMAS SYNOPTIQUES LIAISONS ATELIERS_BONNEVAY;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;113810;113810;;
AQ00AQ X0000 0730 HF-060131;ATELIERS POUDRETTE -  SCHEMAS SYNOPTIQUES CONTROLE DE POSITIONNEMENT DES RAMES SUR LES VOIES DE GARAGE;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;113813;113813;;
AQ00AQ X0000 0730 HF-060132;ATELIERS POUDRETTE -  SCHEMAS SYNOPTIQUES LOGIQUE PILOTAGE AUTOMATIQUE;ALSTOM;C.DOC/JG/18/61;RIFFARD;14/02/2018;;AVENIR METRO  AUTOMATISME;M16 0116;POUDRETTE;SIG-AB;113818;113818;;
AQ00AQ X0000 0730 HF-060132;ATELIERS POUDRETTE -  SCHEMAS SYNOPTIQUES LOGIQUE PILOTAGE AUTOMATIQUE;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;O;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;113818;113818;;
AQ00AQ X0000 0730 HF-060133;ATELIERS POUDRETTE -  SCHEMAS SYNOPTIQUES TELECONTROLES-TELECOMMANDES DELEGATION;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;155919;155919;;
AQ00AQ X0000 0730 HF-060134;ATELIERS POUDRETTE -  SCHEMAS SYNOPTIQUES PASSAGE A NIVEAU A BARRIERES AUTOMATIQUES;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;155920;155920;;
AQ00AQ X0000 0730 HF-060135                       ;ATELIERS POUDRETTE -  LISTE DES DOCUMENTS D'EXECUTION;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;44741;44741;;
AQ00AQ X0000 0730 HF-060136                       ;ATELIERS POUDRETTE -  EQUIPEMENT DANS LES VOIES;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;43223;43223;;
AQ00AQ X0000 0730 HF-060137                       ;ATELIERS POUDRETTE -  DISPOSITION DES EQUIPEMENTS DANS LE LOCAL ELECTRONIQUE DU PCA;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;43552;43552;;
AQ00AQ X0000 0730 HF-060138                       ;ATELIERS POUDRETTE -  CIRCUITS DE DISTRIBUTION ET DE REPARTITION DE L'ALIMENTATION;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;43234;43234;;
AQ00AQ X0000 0730 HF-060139                       ;ATELIERS POUDRETTE -  CIRCUITS DE VOIE;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;43187;43187;;
AQ00AQ X0000 0730 HF-060140                       ;ATELIERS POUDRETTE -  ENREGISTREMENT DES ITINERAIRES;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;43178;43178;;
AQ00AQ X0000 0730 HF-060141                       ;ATELIERS POUDRETTE -  COMMANDE DES ITINERAIRES;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;43247;43247;;
AQ00AQ X0000 0730 HF-060142                       ;ATELIERS POUDRETTE - SIG. - RELAIS DE COMMANDE D'AIGUILLE;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;43261;43261;;
AQ00AQ X0000 0730 HF-060143                       ;ATELIERS POUDRETTE - SIG. - COMMANDE ET CONTROLE DES AIGUILLES;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;43262;43262;;
AQ00AQ X0000 0730 HF-060144                       ;ATELIERS POUDRETTE -  COMMANDE DES OEILLETONS;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;43272;43272;;
AQ00AQ X0000 0730 HF-060145                       ;ATELIERS POUDRETTE -  ALLUMAGE DES FEUX DE SIGNAUX;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;43470;43470;;
AQ00AQ X0000 0730 HF-060146                       ;ATELIERS POUDRETTE -  DESTRUCTION DES ITINERAIRES;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;43215;43215;;
AQ00AQ X0000 0730 HF-060147                       ;ATELIERS POUDRETTE -  ALLUMAGE DES VOYANTS PUPITRE ET TCO;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;43193;43193;;
AQ00AQ X0000 0730 HF-060148                       ;ATELIERS POUDRETTE -  PASSAGE A NIVEAU A BARRIERES AUTOMATIQUES;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;45016;45016;;
AQ00AQ X0000 0730 HF-060149                       ;ATELIERS POUDRETTE -  PILOTAGE AUTOMATIQUE ET TELEPHONE;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;43207;43207;;
AQ00AQ X0000 0730 HF-060150                       ;ATELIERS POUDRETTE - RADIO TELEPHONE;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;43288;43288;;
AQ00AQ X0000 0730 HF-060151                       ;ATELIERS POUDRETTE - CONTROLE DE POSITIONNEMENT SUR VOIE DE GARAGE;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;43318;43318;;
AQ00AQ X0000 0730 HF-060152                       ;ATELIERS POUDRETTE - LIAISONS BONNEVAY-ATELIERS;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;BONNEVAY;SIG-AB;43302;43302;;
AQ00AQ X0000 0730 HF-060153                       ;ATELIERS POUDRETTE - PLAN DE FACADE DES PLATINES DU TABLEAU DE CONTROLE OPTIQUE;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;43311;43311;;
AQ00AQ X0000 0730 HF-060154                       ;ATELIERS POUDRETTE - CABLAGE DU TCO -VUE ARRIERE PLATINES RELEVEES;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;43312;43312;;
AQ00AQ X0000 0730 HF-060155                       ;ATELIERS POUDRETTE - FACADE DE LA PLATINE DE COMMANDE;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;45921;45921;;
AQ00AQ X0000 0730 HF-060156                       ;ATELIERS POUDRETTE - CABLAGE DE LA PLATINE DE COMMANDE;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;43313;43313;;
AQ00AQ X0000 0730 HF-060157                       ;ATELIERS POUDRETTE - CABLAGE DES REPARTITEURS DU PUPITRE DE COMMANDE;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;43314;43314;;
AQ00AQ X0000 0730 HF-060158                       ;ATELIERS POUDRETTE - CABLAGE DES REPARTITEURS DU TCO;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;43319;43319;;
AQ00AQ X0000 0730 HF-060159                       ;ATELIERS POUDRETTE - ARMOIRE A1;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;43325;43325;;
AQ00AQ X0000 0730 HF-060160                       ;ATELIERS POUDRETTE - ARMOIRE DE REGROUPEMENT A2;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;46034;46034;;
AQ00AQ X0000 0730 HF-060161                       ;ATELIERS POUDRETTE - ARMOIRE A3;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;43305;43305;;
AQ00AQ X0000 0730 HF-060162                       ;ATELIERS POUDRETTE - ARMOIRE A4;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;43339;43339;;
AQ00AQ X0000 0730 HF-060163                       ;ATELIERS POUDRETTE - CHASSIS C1;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;43352;43352;;
AQ00AQ X0000 0730 HF-060164                       ;ATELIERS POUDRETTE - CHASSIS C2;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;43374;43374;;
AQ00AQ X0000 0730 HF-060165                       ;ATELIERS POUDRETTE - CHASSIS C3;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;43224;43224;;
AQ00AQ X0000 0730 HF-060166                       ;ATELIERS POUDRETTE - CHASSIS C4;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;43417;43417;;
AQ00AQ X0000 0730 HF-060167;ATELIERS POUDRETTE - CHASSIS C5;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;236256;236256;;
AQ00AQ X0000 0730 HF-060168                       ;ATELIERS POUDRETTE - CHASSIS C6;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;43576;43576;;
AQ00AQ X0000 0730 HF-060169                       ;ATELIERS POUDRETTE - AFFECTATION CHASSIS : C7;ALSTOM;C.DOC/JG/18/84;RIFFARD;09/03/2018;;AVENIR METRO  AUTOMATISMES;M16 0116;POUDRETTE;SIG-AB;46039;46039;;
