Référence fournisseur;Référence fiche
AA00AA X0000 300000 E10 CD 000464;102351
AA00AA X0000 200000 X90 TD 000047;102390
AA00AA X0000 200000 X90 TD 000048;102391
AA00AA X0000 200000 X90 TD 000049;102393
AA00AA X0000 120000 X90 TD 000012;102552
AA00AA X0000 000000 S01 SD 000210;102848
AA00AA X0000 200000 S35 SN 000363;102849
AA00AA X0000 200000 S35 SN 000292;102850
AA00AA X0000 200000 S35 SN 000291;102851
AA00AA X0000 200000 S35 SN 000303;102852
AA00AA X0000 200000 S35 SN 000293;102853
AA00AA X0000 200000 S35 SN 000301;102854
AA00AA X0000 200000 S35 SN 000371;102855
AA00AA X0000 200000 S35 SN 000372;102856
AA00AA X0000 500000 S90 SN 000100;10289
AA00AA X0000 200000 E50 MN 000011;103056
AA00AA X0000 000000 E01 SD 000237;103057
AA00AA X0000 200000 E60 SL 000221;103064
AA00AA X0000 200000 E45 FD 000001;103065
AA00AA X0000 200000 E08 FN 000002;103066
AA00AA X0000 000000 E01 SN 000316;103070
AA00AA X0000 000000 E37 SN 000301;103076
AA00AA X0000 200000 E60 SN 000215;103077
AA00AA X0000 200000 E37 SN 000101;103078
AA00AA X0000 000000 E37 SN 000164;103079
AA00AA X0000 200000 E65 SN 000201;103080
AA00AA X0000 200000 E60 SC 000228;103081
AA00AA X0000 200000 G82 SN 000201;103082
AA00AA X0000 200000 E60 SN 000227;103111
AA00AA X0000 000000 E75 RN 000018;103112
AA00AA X0000 120000 X90 TC 000006;103428
AA00AA X0000 000000 E16 AN 000001;10363
AA00AA X0000 000000 E01 SN 000151;10365
AA00AA X0000 000000 E05 SN 000991;10367
AA00AA X0000 000000 D60 MN 000003;10373
AA00AA X0000 000000 S90 AL 000001;10375
AA00AA X0000 200000 S35 FD 000468;103752
AA00AA X0000 200000 Q20 FN 000115;103753
AA00AA X0000 200000 E60 FL 000052;103757
AA00AA X0000 200000 S35 FD 000477;103768
AA00AA X0000 200000 S35 FD 000465;103769
AA00AA X0000 000000 L01 AC 000506;10377
AA00AA X0000 200000 S35 FD 000467;103770
AA00AA X0000 200000 S35 FD 000461;103771
AA00AA X0000 200000 S35 FD 000484;103772
AA00AA X0000 000000 E37 SN 000152;10379
AA00AA X0000 200000 S35 FD 000471;103791
AA00AA X0000 000000 S90 SN 000101;10382
AA00AA X0000 200000 S35 FD 000472;103837
AA00AA X0000 200000 S35 FD 000480;103856
AA00AA X0000 200000 S35 FD 000462;103863
AA00AA X0000 200000 E60 FL 000050;103870
AA00AA X0000 200000 S35 FL 000479;103876
AA00AA X0000 200000 S35 FD 000486;103877
AA00AA X0000 200000 S35 FD 000487;103878
AA00AA X0000 200000 S35 FD 000457;103920
AA00AA X0000 200000 S35 FD 000469;103938
AA00AA X0000 200000 S35 FD 000481;103939
AA00AA X0000 200000 S35 FD 000478;103951
AA00AA X0000 200000 Q20 FN 000120;103954
AA00AA X0000 200000 S11 TD 000019;103994
AA00AA X0000 200000 S11 TD 000020;103995
AA00AA X0000 200000 S11 TD 000018;103996
AA00AA X0000 200000 S11 TD 000021;104008
AA00AA X0000 200000 S11 TD 000017;104009
AA00AA X0000 200000 S11 TN 000024;104010
AA00AA X0000 200000 Q20 TN 000007;104011
AA00AA X0000 200000 Q30 FC 000179;104012
AA00AA X0000 200000 Q30 FC 000180;104013
AA00AA X0000 200000 Q30 FC 000181;104014
AA00AA X0000 200000 S11 TN 000022;104015
AA00AA X0000 200000 S11 TN 000023;104016
AA00AA X0000 200000 Q30 FN 000187;104017
AA00AA X0000 200000 S35 FD 000498;104018
AA00AA X0000 200000 S35 FD 000476;104048
AA00AA X0000 200000 Q20 FN 000114;104049
AA00AA X0000 200000 S35 FD 000466;104060
AA00AA X0000 200000 S35 FD 000470;104061
AA00AA X0000 200000 S35 FD 000474;104088
AA00AA X0000 200000 S35 FD 000507;104145
AA00AA X0000 200000 S11 TN 000025;104150
AA00AA X0000 200000 Q20 FN 000113;104159
AA00AA X0000 200000 Q10 FD 000100;104172
AA00AA X0000 200000 Q30 FN 000186;104181
AA00AA X0000 200000 Q10 FD 000101;104192
AA00AA X0000 200000 Q30 FN 000173;104215
AA00AA X0000 200000 Q20 FN 000112;104224
AA00AA X0000 200000 Q10 FD 000103;104254
AA00AA X0000 200000 L20 FC 000077;104313
AA00AA X0000 200000 L20 FC 000078;104317
AA00AA X0000 200000 L20 FC 000079;104328
AA00AA X0000 200000 L20 FC 000073;104339
AA00AA X0000 200000 L20 FC 000080;104340
AA00AA X0000 117000 X90 TD 000002;10437
AA00AA X0000 000000 G50 FL 000006;104388
AA00AA X0000 200000 Q30 FN 000188;104389
AA00AA X0000 200000 X96 TD 000009;104655
AA00AA X0000 200000 X90 TD 000054;104746
AA00AA X0000 200000 X90 TD 000050;104760
AA00AA X0000 200000 X90 TD 000051;104762
AA00AA X0000 200000 X90 TD 000052;104764
AA00AA X0000 200000 X90 TD 000053;104767
AA00AA X0000 200000 S35 FD 000458;104820
AA00AA X0000 100000 L04 AN 000509;10510
AA00AA X0000 100000 L04 AN 000508;10511
AA00AA X0000 100000 L04 AN 000504;10512
AA00AA X0000 100000 L04 AN 000503;10513
AA00AA X0000 100000 L04 AN 000502;10514
AA00AA X0000 100000 L03 AC 000501;10515
AA00AA X0000 100000 L04 AN 000506;10516
AA00AA X0000 100000 L04 AN 000501;10517
AA00AA X0000 200000 X90 TD 000056;105212
AA00AA X0000 124000 X90 TP 000002;105322
AA00AA X0000 123000 X90 TD 000027;105428
AA00AA X0000 118200 X90 TD 000007;105448
AA00AA X0000 200000 X90 TD 000055;105468
AA00AA X0000 118200 X90 TD 000008;105489
AA00AA X0000 123000 E01 VL 000120;10553
AA00AA X0000 123000 X90 TD 000021;105531
AA00AA X0000 200000 X90 TD 000059;105562
AA00AA X0000 162000 X95 TD 000001;105816
AA00AA X0000 141000 X90 TD 000007;106203
AA00AA X0000 200000 S35 TN 000057;106250
AA00AA X0000 000000 X93 TD 000021;106269
AA00AA X0000 100000 X90 TD 000095;106332
AA00AA X0000 100000 X90 TD 000096;106333
AA00AA X0000 123000 X91 TC 000012;106388
AR00AR X0000 200000 S35 FD 000451;106724
AA00AA X0000 200000 X90 TD 000057;106735
AR00AR X0000 200000 L07 FD 000026;106767
AR00AR X0000 200000 L07 FD 000028;106769
AA00AA X0000 200000 X90 TD 000060;106836
AR00AR X0000 200000 L07 FD 000029;106868
AR00AR X0000 200000 L07 FD 000031;106871
AR00AR X0000 200000 L07 FD 000025;106872
AR00AR X0000 200000 L07 FD 000030;106873
AA00AA X0000 160000 X90 TD 000001;107737
AA00AA X0000 200000 X90 TD 000036;107802
AA00AA X0000 100000 X90 TD 000098;107907
AA00AA X0000 241000 R15 NN 000145CE 821574S;10793
AA00AA X0000 200000 X90 TD 000061;107948
AA00AA X0000 200000 G06 SN 000108;10796
AA00AA X0000 231700 P30 NN 000001CE 824249N;10798
AA00AA X0000 100000 X90 TD 000099;108013
AA00AA X0000 122000 X90 TD 000009SEG/MU/97-159;108039
AA00AA X0000 200000 L04 SN 000101;10820
AA00AA X0000 200000 L04 SN 000100;10821
AA00AA X0000 241000 R15 NN 000149CE 821569M;10822
AA00AA X0000 240000 E03 MN 000019;10829
AA00AA X0000 200000 G30 SN 000109;10835
AA00AA X0000 200000 G15 SO 000123;10838
AA00AA X0000 212217 P30 CN 000100CE 821784T;10848
AA00AA X0000 231700 X90 TD 000001;108682
AA00AA X0000 281000 E01 SN 000114;10872
AA00AA X0000 200000 G06 SN 000109;10874
AA00AA X0000 241000 P30 SN 000102;10875
AA00AA X0000 200000 E50 JP 000002FP 827300C;10876
AA00AA X0000 212216 P30 CN 000100CE 823270A P1/18;10899
AA00AA X0000 130000 X90 TD 000001;1090
AA00AA X0000 200000 S30 MN 000007;10904
AA00AA X0000 200000 Q10 MN 000003;10905
AA00AA X0000 100000 X90 TD 000066;109181
AA00AA X0000 100000 X90 TD 000067;109182
AA00AA X0000 211205 P30 CN 000100CE 823922G F7 P1/7;10922
AA00AA X0000 213136 P20 CN 000100CR 827203A;10923
AA00AA X0000 241000 P30 SN 000104;10925
AA00AA X0000 200000 X90 TD 000063;109329
AA00AA X0000 100000 X90 TD 000100;110088
AA00AA X0000 100000 X90 TD 000094;110230
AA00AA X0000 212218 P30 CN 000100CE 821778M;11032
AA00AA X0000 212006 R15 NP 000200RP821806Y;11058
AA00AA X0000 200000 X90 TD 000065;110648
AA00AA X0000 281000 E01 SN 000112;11066
AA00AA X0000 200000 X90 TD 000064;110668
AA00AA X0000 200000 X90 TD 000022;110670
AA00AA X0000 200000 X90 TD 000027;110671
AA00AA X0000 200000 X90 TD 000058;110672
6056AA00AA X0000 200000 X93 TD 000012;110689
AA00AA X0000 200000 X90 TD 000066;110708
AA00AA X0000 200000 X90 TD 000029;110749
AA00AA X0000 120000 X90 TD 000010;110830
AA00AA X0000 200000 X90 TC 000004;110909
AA00AA X0000 200000 X90 TD 000067;110935
AA00AA X0000 200000 E50 JP 000007FP 827305K;11113
AA00AA X0000 100000 X90 TD 000104;111655
AA00AA X0000 100000 X90 TD 000105;111698
AA00AA X0000 200000 E50 JP 000003FP 827301D;11174
AA00AA X0000 220000 E01 MP 000006OSY 826166L;1123
AA00AA X0000 200000 X90 TD 000072;112314
AA00AA X0000 100000 X90 TD 000108;112334
AA00AA X0000 114000 X91 TD 000005;112374
AA00AA X0000 200000 E50 JP 000008FP 827306L;11249
AA00AA X0000 118200 X90 TD 000009;112494
AA00AA X0000 260000 R05 MN 000022;11251
AA00AA X0000 281000 E01 SL 000113;11254
AA00AA X0000 281000 E01 SL 000114;11255
AA00AA X0000 200000 X90 TD 000069;112615
AA00AA X0000 240000 E04 MP 000028FP 824557S P1;11264
AA00AA X0000 200000 G06 SN 000105;11266
AA00AA X0000 200000 X90 TD 000070;112668
AA00AA X0000 200000 X90 TD 000071;112669
AA00AA X0000 200000 G06 NN 000130;11267
AA00AA X0000 200000 E50 JP 000006FP 827304G;11272
AA00AA X0000 200000 E50 JP 000005FP 827303F;11273
AA00AA X0000 000000 X93 TD 000022;112844
AN99ANT0000600000C20LV000454;113066
AA00AA X0000 200000 E01 TN 000017;113158
AA00AA X0000 231700 P30 NN 000002CE 824250P;11334
AA00AA X0000 200000 X90 TD 000074;113494
AA00AA X0000 240000 E03 MN 000021;11385
AA00AA X0000 240000 E03 MN 000023;11386
AA00AA X0000 240000 E03 MN 000026;11387
AA00AA X0000 200000 X90 TD 000075;113926
AA00AA X0000 241000 R15 NN 000176CE 820775R;11404
AA00AA X0000 231800 R15 JP 000301CE 826743T;11409
AA00AA X0000 241000 R15 NN 000177CE 824164B;11416
AA00AA X0000 241000 R15 NN 000141CE 826904F;11417
AA00AA X0000 300000 Q01 LD 000500;114851
AA00AA M0923 313450 P20 LD 000520;114984
AA00AA X0000 314000 P13 LD 000520;115017
AA00AA X0000 314111 P14 LD 000520;115020
AA00AA X0000 314111 P13 LD 000520;115021
AA00AA X0000 123000 X91 TC 000013;115052
AA00AA X0000 200000 P30 JL 000035;11510
AA00AA X0000 200000 P30 JL 000031;11511
AA00AA X0000 200000 P30 JL 000039;11512
AA00AA X0000 200000 P30 JL 000041;11516
AA00AA X0000 314000 P13 LD 000530;115182
AA00AA X0000 314000 P13 LD 000531;115183
AA00AA X0000 314000 P13 LD 000532;115184
AA00AA X0000 314111 P13 LD 000530;115185
AA00AA X0000 314111 P13 LD 000531;115186
AA00AA X0000 314111 P13 LD 000532;115187
AA00AA X0000 313250 P20 LD 000530;115188
AA00AA X0000 212214 P20 CN 000100CR 821693A;11529
AA00AA X0000 221600 P30 NN 000003NR 820802C P1/8;11545
AA00AA X0000 213022 P20 CN 000101CR 827177Q;11563
AA00AA X0000 200000 E50 JP 000009FP 827307M;11609
AA00AA X0000 221800 P30 CN 000100CE 824301F F1 P1/8;11633
AA00AA X0000 221700 P30 CN 000100CE 824314Y P1/8;11634
AA00AA X0000 212213 P20 CN 000100CR 821776K;11636
AA00AA X0000 100000 X90 TD 000110;116619
AA00AA X0000 200000 G50 MN 000038;11671
0070TDO080002;116841
AA00AA X0000 200000 E70 MN 000006;11686
AA00AA X0000 320000 E26 XD 000001;11687
AA00AA X0000 122000 X90 TP 000005;116968
AA00AA X0000 313000 E01 SL 000103;11701
AA00AA X0000 314200 E20 CD 000001ST141085;11704
AA00AA X0000 354000 E11 WD 000002;11712
AA00AA X0000 300000 G60 SC 000148;11713
AA00AA X0000 0000 ST-141100AA00AA X0000 313100 E10 CD 000001;11718
AA00AA X0000 200000 X90 TD 000078;117825
AA00AA X0000 314200 P10 CD 000001AA00AA X0000 0000 ST-141074;11802
0070TDO080001;118054
AA00AA X0000 000000 X90 TD 000002;1182
AA00AA X0000 200000 X90 TD 000062;118335
AA00AA X0000 200000 X90 TD 000068;118338
AA00AA X0000 200000 X90 TD 000076;118340
AA00AA X0000 200000 X90 TD 000077;118344
AA00AA X0000 314114 P11 DD 000001AA00AA X0000 0000 ST-141093;11840
AA00AA X0000 314111 P12 DD 000001AA00AA X0000 0000 ST-141090;11841
AA00AA X0000 313318 P10 CD 000001;11842
AA00AA X0000 300000 X10 SL 000112;11861
AA00AA X0000 100000 X90 TD 000071;118615
AA00AA X0000 311100 P10 CD 000001CB00AAX000031100P10CD000001;11872
AA00AA X0000 300000 X01 CD 000001AA00AA X0000 0000 ST-100169;11878
AM00AM X0000 314111 P14 WD 000001;11891
AA00AA X0000 500000 S42 YL 000001;11899
AA00AA X0000 200000 S23 MN 000001;11900
AA00AA X0000 000000 S25 MN 000003;11902
AA00AA X0000 200000 S15 MN 000003;11904
AA00AA X0000 200000 S35 MN 000020;11908
AA00AA X0000 200000 S35 MN 000016;11909
AA00AA X0000 200000 E70 MN 000004;11910
AA00AA X0000 400000 S11 GN 000004;11911
AA00AA X0000 200000 S01 MN 000003;11912
AA00AA X0000 200000 Q10 TN 000010;119315
AA00AA X0000 200000 X90 TD 000079;119374
AA00AA X0000 162000 X90 TD 000011;119399
AA00AA X0000 000000 G31 TN 000490;119714
AA00AA X0000 200000 L00 TN 000006;119755
AA00AA X0000 200000 L00 TN 000007;119756
AA00AA X0000 200000 E01 FN 000032;119763
AA00AA X0000 300000 L01 EN 000090;12
AA00AA X0000 200000 X90 TD 000080;120335
AA00AA X0000 200000 X90 TD 000081;120336
AA00AA X0000 423000 E30 SP 000102;12077
AA00AA X0000 123000 X91 TC 000014;120837
AA00AA X0000 123000 X91 TC 000015;120838
AA00AA X0000 200000 X90 TD 000084;120844
AA00AA X0000 200000 X90 TD 000086;120964
AA00AA X0000 431000 E01 GN 000049;12099
AA00AA X0000 200000 X90 TD 000087;121342
AA00AA X0000 200000 X90 TD 000088;121343
AA00AA X0000 400000 E01 GN 000015;12140
AA00AA X0000 200000 X90 TD 000089;121462
AA00AA X0000 200000 X90 TD 000090;121463
AA00AA X0000 200000 X90 TD 000091;121464
AA00AA X0000 140000 X90 TD 000005;121687
AA00AA X0000 300000 X90 TD 000003;121948
AA00AA X0000 123000 X90 TD 000030;122008
AA00AA X0000 000000 X93 TD 000023;122088
AA00AA X0000 221600 X90 TD 000001;122293
AA00AA X0000 100000 X90 TD 000111;122317
AA00AA X0000 100000 X90 TD 000112;122318
AA00AA X0000 141000 X90 TD 000006;123313
AA00AA X0000 100000 X90 TD 000113;123773
AA00AA X0000 200000 X92 TD 000002;123953
AA00AA X0000 313300 P14 LD 000540;124236
AA00AA X0000 314111 P13 LD 000540;124300
AA00AA X0000 314111 P13 LD 000541;124301
AA00AA X0000 314111 P13 LD 000542;124302
AA00AA X0000 314111 P13 LD 000548;124303
AA00AA X0000 314111 P13 LD 000554;124304
AA00AA X0000 314111 P13 LD 000557;124305
AA00AA X0000 310600 E11 LD 000560;124394
AA00AA X0000 313000 E10 LD 000520;124434
AA00AA X0000 220000 X90 TD 000009;124437
AA99AA X0000 313000 E10 LD 000524M0000S2010LEEST501036;124438
AA00AA X0000 400000 X96 TD 000004;124493
AA00AA X0000 313412 P14 LD 000520;124640
AA00AA X0000 314000 P13 LD 000600;124653
AA00AA X0000 314000 P13 LD 000601;124654
AA00AA X0000 314000 P13 LD 000602;124655
AA00AA X0000 314000 P13 LD 000603;124656
AA00AA X0000 314000 P13 LD 000604;124657
AA00AA X0000 314111 P13 LD 000600;124661
AA00AA X0000 314111 P13 LD 000601;124662
AA00AA X0000 314111 P13 LD 000603;124663
AA00AA X0000 314111 P13 LD 000604;124664
AA00AA X0000 313350 P20 LD 000540;124753
AA00AA X0000 200000 X90 TD 000092;124873
AA00AA X0000 200000 X90 TD 000093;124874
AA00AA X0000 200000 X90 TD 000094;124875
AA00AA X0000 200000 X90 TD 000095;124876
AA00AA X0000 200000 X90 TD 000096;124877
AA00AA X0000 200000 X90 TD 000097;124878
AA00AA X0000 200000 X90 TD 000098;124879
AA00AA X0000 200000 X90 TD 000099;124880
AA00AA X0000 200000 S70 MN 000035;124893
AA00AA X0000 200000 S70 MN 000036;124894
AA00AA X0000 100000 X90 TD 000115;125376
AA00AA X0000 500000 E20 MN 000004;12539
AA00AA X0000 200000 X90 TD 000103;126076
AA00AA X0000 118200 X90 TD 000011;126396
MOP 601.01AA00AA X0000 500000 X90 TD 000038;126398
AA00AA X0000 200000 X90 TD 000100;126416
AA00AA X0000 200000 X90 TD 000101;126417
AA00AA X0000 230000 X90 TD 000003;126418
AA00AA X0000 200000 X90 TD 000102;126436
AA00AA X0000 550500 I10 MP 000001DD 824272S P1;12657
AA00AA X0000 100000 X90 TD 000103;126696
AA00AA X0000 200000 X90 TD 000105;126858
AA00AA X0000 200000 X90 TD 000106;127377
AA00AA X0000 100000 X90 TD 000116;127596
AA00AA X0000 150000 X90 TD 000001;127896
AA00AA X0000 150000 X90 TD 000002;127897
AA00AA X0000 150000 X90 TD 000003;128059
AA00AA X0000 200000 X90 TD 000107;128061
AA00AA X0000 123000 X91 TC 000016;128096
AA00AA X0000 200000 X90 TD 000108;128137
AA00AA X0000 550145 I10 MP 000001DD 824244F P1;12825
AA00AA X0000 550154 I10 MP 000001DD 824276Y;12835
AA00AA X0000 550155 I10 MP 000001DD 824277A;12854
AA00AA X0000 100000 X90 TD 000117;128576
AA00AA X0000 551200 I10 MP 000001FP 821566G;12862
AA00AA X0000 400000 X90 TP 000017;128689
AA00AA X0000 551100 I10 MP 000001FP 824261D P1;12872
AA00AA X0000 550502 I10 MP 000001PM 824267M P1;12873
AA00AA X0000 550501 I10 MP 000001PM 824266L P1;12874
AA00AA X0000 123000 X91 TC 000017 V01;129056
AA00AA X0000 200000 X90 TD 000109;129500
AA00AA X0000 551500 I10 MP 000001FP 824289Q P1;12951
AA00AA X0000 200000 X90 TD 000110;129600
AA00AA X0000 422000 E60 PD 000002;129602
AA00AA X0000 550165 I10 MP 000001DD 821578Y;12973
AA00AA X0000 200000 X90 TD 000111;129832
AA00AA X0000 127000 X90 TD 000003;129872
AA00AA X0000 200000 X90 TD 000112;130374
AA00AA X0000 200000 X90 TD 000113;130554
AA00AA X0000 200000 X82 TD 000006;131357
AA00AA X0000 200000 X90 TD 000114;131577
AA00AA X0000 200000 G05 TN 000001;131677
AA00AA X0000 000000 E01 CD 000050;13176
AA00AA X0000 000000 G51 AC 000046;13178
AA00AA X0000 000000 E37 SL 000176;13180
AA00AA X0000 000000 L01 AC 000520;13182
AA00AA X0000 000000 L04 AN 000503;13184
AA00AA X0000 000000 G90 SC 000177;13186
AA00AA X0000 000000 L01 AL 000501;13188
AA00AA X0000 000000 L03 AC 000501;13190
AA00AA X0000 000000 L01 SN 000108;13192
AA00AA X0000 200000 X90 TD 000115;131921
AA00AA X0000 000000 L04 AN 000501;13194
AA00AA X0000 000000 L04 AN 000502;13196
AA00AA X0000 000000 L04 AN 000504;13198
AA00AA X0000 000000 L04 AN 000505;13200
AA00AA X0000 000000 L04 AN 000506;13202
AA00AA X0000 000000 S90 SL 000206;13204
AA00AA X0000 000000 S90 SN 000204;13206
AA00AA X0000 000000 S90 SN 000200;13208
AA00AA X0000 000000 S90 SN 000199;13210
AA00AA X0000 000000 G71 SN 000176;13212
AA00AA X0000 100000 M10 VN 000100;13253
AA00AA X0000 100000 L03 AC 000502;13254
AA00AA X0000 100000 L04 AN 000513;13255
AA00AA X0000 100000 L04 AN 000517;13256
AA00AA X0000 100000 L04 AN 000519;13257
AA00AA X0000 141000 X90 TD 000003;13264
AA00AA X0000 100000 L01 AN 000535;13266
AA00AA X0000 100000 L04 AN 000540;13267
AA00AA X0000 100000 L04 AN 000518;13268
AA00AA X0000 100000 L04 AN 000515;13269
AA00AA X0000 100000 L04 AN 000511;13270
AA00AA X0000 100000 L04 AN 000510;13271
AA00AA X0000 100000 L03 AN 000505;13272
AA00AA X0000 200000 X90 TD 000116;132729
AA00AA X0000 190000 Q05 KL 000101;13291
AA00AA X0000 100000 M10 VN 000900;13293
AA00AA X0000 100000 X90 TD 000121;133039
AA00AA X0000 200000 X90 TD 000117;133120
AA00AA X0000 127000 E01 VL 000112;13315
AA00AA X0000 192000 E10 KD 000100;13317
AA00AA X0000 200000 X90 TD 000118;133459
AA00AA X0000 123000 E01 VL 000123;13350
AA00AA X0000 200000 X90 TD 000119;133544
AA00AA X0000 100000 X90 TD 000122;133545
AA00AA X0000 100000 S42 AL 000003100000S42AN000501;13453
AA00AA X0000 100000 S30 AN 000523;13454
AA00AA X0000 200000 X90 TD 000120;134599
AA00AA X0000 200000 X90 TD 000121;134600
AA00AA X0000 200000 X90 TD 000122;134639
AA00AA X0000 283000 E01 SL 000108;13467
AA00AA X0000 200000 S70 ML 000033;13472
AA00AA X0000 260000 R05 MN 000027;13473
AA00AA X0000 200000 G06 JN 000199;13476
AA00AA X0000 200000 G06 JN 000198;13477
AA00AA X0000 200000 G06 JN 000197;13478
AA00AA X0000 200000 G06 JL 000354;13479
AA00AA X0000 200000 G06 JL 000329;13480
AA00AA X0000 200000 E00 SC 000157;13481
AA00AA X0000 200000 E00 SC 000140;13482
AA00AA X0000 200000 L00 MN 000056;13489
AA00AA X0000 000000 E75 RN 000122;135379
AA00AA X0000 000000 E75 RN 000123;135380
AA00AA X0000 000000 E75 RN 000124;135381
AA00AA X0000 100000 X90 TN 000001;135399
AA00AA X0000 200000 X90 TD 000123;135401
AA00AA X0000 200000 X92 TD 000001;13541
AA00AA X0000 200000 X90 TD 000017;13543
AA00AA X0000 281000 E01 SL 000132;13544
AA00AA X0000 281000 E01 SL 000136;13545
AA00AA X0000 200000 G06 NN 000252;13546
AA00AA X0000 213345 R15 JP 000100FP 827374A P1/1;13554
AA00AA X0000 281000 E01 SL 000138;13555
AA00AA X0000 281000 E01 SL 000123;13556
AA00AA X0000 284200 E01 MN 000002;13557
AA00AA X0000 281000 E01 MN 000025;13559
AA00AA X0000 000000 X93 TD 000025;135679
AA00AA X0000 200000 G81 MN 000239;13569
AA00AA X0000 200000 G06 JL 000410;13570
AA00AA X0000 200000 G06 SN 000148;13571
AA00AA X0000 200000 G06 SN 000144;13572
AA00AA X0000 200000 G06 SN 000143;13573
AA00AA X0000 200000 G06 SN 000137;13574
AA00AA X0000 200000 G06 SN 000136;13575
AA00AA X0000 200000 G06 SN 000135;13576
AA00AA X0000 200000 G06 SN 000134;13577
AA00AA X0000 200000 G06 SN 000133;13578
AA00AA X0000 200000 G06 SN 000132;13579
AA00AA X0000 200000 G06 SN 000131;13580
AA00AA X0000 200000 G06 SN 000130;13581
AA00AA X0000 200000 G06 SN 000129;13582
AA00AA X0000 200000 G06 SN 000128;13583
AA00AA X0000 200000 G06 SN 000126;13584
AA00AA X0000 200000 G06 SN 000125;13585
AA00AA X0000 200000 G06 SN 000123;13586
AA00AA X0000 200000 G06 SN 000122;13587
AA00AA X0000 200000 G06 SN 000121;13588
AA00AA X0000 200000 G06 SN 000120;13589
AA00AA X0000 200000 G06 SN 000118;13590
AA00AA X0000 200000 G06 SN 000116;13591
AA00AA X0000 200000 G06 SN 000117;13592
AA00AA X0000 200000 G06 SN 000115;13593
AA00AA X0000 200000 G06 NN 000227;13594
AA00AA X0000 200000 X90 TD 000124;135943
AA00AA X0000 200000 G06 JN 000258;13595
AA00AA X0000 200000 G06 JN 000231;13596
AA00AA X0000 100000 X90 TD 000123;136419
AA00AA X0000 213341 E01 MN 000001;13661
AA00AA X0000 213025 R15 JP 000100FP 827398F;13664
AA00AA X0000 200000 P30 JL 000044;13676
AA00AA X0000 200000 P30 JL 000042;13677
AA00AA X0000 211238 P20 NN 000001CR 827208;13700
AA00AA X0000 213339 E01 MN 000001;13702
GB00032;137022
AA00AA X0000 200000 L20 TN 000009;137040
AA00AA X0000 200000 G06 JL 000261;13705
AA00AA X0000 200000 G06 SN 000113;13715
AA00AA X0000 200000 G06 SN 000119;13717
AA00AA X0000 200000 X90 TD 000125;137179
AA00AA X0000 200000 G06 SN 000114;13736
